DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Complete_NRPS_or_PKS
COLOR	#FF0000
DATA
Phlyctochytrium_GCA_027600675.1	0
Phaeoacremonium_GCF_000392275.1	11
Corynespora_GCA_003016335.1	37
Paraphysoderma_GCA_025602915.1	1
Erythrobasidium_GCA_001600175.1	2
Chytriomyces_GCA_025201725.1	0
Smittium_GCA_003086735.1	0
Taphrina_GCA_000836135.1	5
Obelidium_GCA_025765595.1	4
Polychytrium_GCF_025602895.1	56
Monilinia_GCA_002162545.1	30
Ustilago_GCF_000328475.2	7
Chaetoscypha_GCA_003988945.1	6
Gonapodya_GCA_001574975.1	1
Ramichloridium_GCA_002368545.1	17
Mitosporidium_GCF_000760515.2	0
Corinectria_GCA_003385255.1	11
Xylona_GCF_001619985.1	17
Bipolaris_GCF_000354255.1	24
Emmonsia_GCA_002572855.1	4
Syncephalastrum_GCA_002105135.1	5
Glonium_GCA_001692915.1	3
Alloascoidea_GCA_001600815.1	3
Verruconis_GCA_000836295.1	7
Mixia_GCF_000708205.1	4
Podospora_GCA_900290415.1	24
Homolaphlyctis_GCA_000235945.1	0
Eutypa_GCA_000349385.1	17
Hyaloraphidium_GCA_025558095.1	1
Geranomyces_GCA_027600685.1	5
Aureobasidium_GCF_000721755.1	14
Phialocephala_GCA_900073065.1	39
Ascochyta_GCA_004335205.1	6
Lobulomyces_GCA_027604685.1	0
Irineochytrium_GCA_027600665.1	0
Fragosphaeria_GCA_002778095.1	17
Ascoidea_GCF_001661345.1	0
Gaertneriomyces_GCA_027603645.1	2
Tolypocladium_GCA_002916505.1	6
Geranomyces_GCA_027602005.1	4
Capsaspora_GCA_000151315.2	2
Epichloe_GCA_002591845.1	9
Tuber_GCF_000151645.1	4
Spizellomyces_GCA_000182565.2	6
Valsa_GCA_003795315.1	30
Gonapodya_GCA_027604505.1	1
Oehlia_GCA_003833135.1	2
Hyaloscypha_GCA_002865625.1	21
Rhizopus_GCA_000149305.1	7
Backusella_GCA_025399235.1	3
Cephaloascus_GCA_003706495.1	0
Bifiguratus_GCA_002261195.1	2
Chytridiales_GCA_027604305.1	1
Scedosporium_GCA_000812075.1	8
Clydaea_GCA_027604065.1	0
Physocladia_GCA_027596945.1	0
Rhizoclosmatium_GCA_027604365.1	1
Cryphonectria_GCA_003264845.1	22
Rhizoclosmatium_GCA_002104985.1	6
Allomyces_GCA_027604705.1	1
Ascobolus_GCA_003788565.2	6
Batrachochytrium_GCA_000149865.1	3
Rhizopus_GCA_002083745.1	1
Ustulina_GCA_002081935.3	18
Polyrhizophydium_GCA_027604665.1	0
Gaertneriomyces_GCA_025558075.1	2
Colletotrichum_GCA_001563115.1	14
Blyttiomyces_GCA_027604625.1	0
Phlyctochytrium_GCA_025602905.1	2
Neofusicoccum_GCA_000385595.1	6
Reticulascus_GCA_001557505.1	29
Rhizophlyctis_GCA_002214945.1	0
Talaromyces_GCA_001270325.1	29
Orbilia_GCF_000225545.1	7
Verticillium_GCA_000732205.1	21
Boothiomyces_GCA_027604245.1	0
Metschnikowia_GCA_002374405.1	1
Baudoinia_GCF_000338955.1	10
Batrachochytrium_GCA_002006685.2	2
Evernia_GCA_003184365.1	30
Schizosaccharomyces_GCA_000002945.2	3
Martensiomyces_GCA_025201845.1	0
Chytriomyces_GCA_027604165.1	0
Yarrowia_GCA_000002525.1	1
Thermothielavioides_GCF_000226115.1	17
Linderina_GCF_002104995.1	1
Paecilomyces_GCA_003990805.1	21
Batrachochytrium_GCA_000203795.1	2
Neocallimastix_GCA_002104975.1	23
Microbotryum_GCA_900120095.1	2
Piromyces_GCA_002104945.1	8
Mucor_GCA_000950595.1	2
Ophiognomonia_GCA_003671545.1	19
Terramyces_GCA_027603945.1	1
Coemansia_GCA_002705745.1	1
Hanseniaspora_GCA_900119595.1	1
Fonticula_GCA_000388065.2	1
Kappamyces_GCA_027604465.1	0
Aspergillus_GCA_003574815.1	31
Pestalotiopsis_GCF_000516985.1	58
Geranomyces_GCA_027603065.1	8
Chytriomyces_GCA_027604085.1	0
Basidiobolus_GCA_002104905.1	4
Rozella_GCA_000442015.1	0
Geranomyces_GCA_027601485.1	8
Entophlyctis_GCA_027604545.1	0
Cystobasidiopsis_GCA_001599975.1	5
Chytridium_GCA_025449115.1	2
Thoreauomyces_GCA_027596035.1	0
Elaphomyces_GCA_002240705.1	0
Cladosporium_GCA_000261425.2	11
Umbelopsis_GCF_025399195.1	2
Endocalyx_GCA_001600455.1	55
Gorgonomyces_GCA_025526955.1	1
Clohesyomyces_GCA_002105025.1	15
Pseudomassariella_GCF_002105095.1	46
Globomyces_GCA_027595885.1	1
Allomyces_GCA_000151295.1	2
Uncinocarpus_GCA_000003515.2	15
Synchytrium_GCA_006535955.1	0
Neoconidiobolus_GCA_025603075.1	1
Powellomyces_GCA_006536005.1	2
Gyalolechia_GCA_000442125.1	29
