DATASET_MULTIBAR
SEPARATOR TAB
DATASET_LABEL	BGC_Size_Relaxed_and_Strict
COLOR	#000000
FIELD_LABELS	Strict	Relaxed
FIELD_COLORS	#747474	#b5b5b3
DATA
Phlyctochytrium_GCA_027600675.1	44514	132850
Phaeoacremonium_GCF_000392275.1	649291	820287
Corynespora_GCA_003016335.1	2508726	1927911
Paraphysoderma_GCA_025602915.1	0	174597
Erythrobasidium_GCA_001600175.1	0	217595
Chytriomyces_GCA_025201725.1	0	207790
Smittium_GCA_003086735.1	0	88475
Taphrina_GCA_000836135.1	75543	374770
Obelidium_GCA_025765595.1	288691	223379
Polychytrium_GCF_025602895.1	245708	4043109
Monilinia_GCA_002162545.1	1930214	1249620
Ustilago_GCF_000328475.2	248757	466632
Chaetoscypha_GCA_003988945.1	1237315	691924
Gonapodya_GCA_001574975.1	0	196268
Ramichloridium_GCA_002368545.1	1274752	932988
Mitosporidium_GCF_000760515.2	0	0
Corinectria_GCA_003385255.1	1521628	621316
Xylona_GCF_001619985.1	996325	626345
Bipolaris_GCF_000354255.1	2126181	1709314
Emmonsia_GCA_002572855.1	308840	789136
Syncephalastrum_GCA_002105135.1	0	539213
Glonium_GCA_001692915.1	1133382	634882
Alloascoidea_GCA_001600815.1	0	275433
Verruconis_GCA_000836295.1	449668	843311
Mixia_GCF_000708205.1	64279	349784
Podospora_GCA_900290415.1	1779920	716606
Homolaphlyctis_GCA_000235945.1	0	120061
Eutypa_GCA_000349385.1	2113989	1153386
Hyaloraphidium_GCA_025558095.1	0	243785
Geranomyces_GCA_027600685.1	331372	392959
Aureobasidium_GCF_000721755.1	807297	1128777
Phialocephala_GCA_900073065.1	2234234	3271339
Ascochyta_GCA_004335205.1	1243556	872027
Lobulomyces_GCA_027604685.1	59559	149512
Irineochytrium_GCA_027600665.1	245252	114815
Fragosphaeria_GCA_002778095.1	825560	771717
Ascoidea_GCF_001661345.1	0	71698
Gaertneriomyces_GCA_027603645.1	177449	158949
Tolypocladium_GCA_002916505.1	1154963	603431
Geranomyces_GCA_027602005.1	344248	373761
Capsaspora_GCA_000151315.2	64376	206639
Epichloe_GCA_002591845.1	946949	700332
Tuber_GCF_000151645.1	228235	223213
Spizellomyces_GCA_000182565.2	356434	408890
Valsa_GCA_003795315.1	2198516	1649532
Gonapodya_GCA_027604505.1	65307	124207
Oehlia_GCA_003833135.1	65011	240805
Hyaloscypha_GCA_002865625.1	1149796	2130757
Rhizopus_GCA_000149305.1	64296	605632
Backusella_GCA_025399235.1	40553	448166
Cephaloascus_GCA_003706495.1	0	87212
Bifiguratus_GCA_002261195.1	18996	303695
Chytridiales_GCA_027604305.1	65807	102179
Scedosporium_GCA_000812075.1	1174844	546438
Clydaea_GCA_027604065.1	37696	71692
Physocladia_GCA_027596945.1	74538	143201
Rhizoclosmatium_GCA_027604365.1	69518	124052
Cryphonectria_GCA_003264845.1	2313885	1392336
Rhizoclosmatium_GCA_002104985.1	132529	410370
Allomyces_GCA_027604705.1	0	181548
Ascobolus_GCA_003788565.2	373721	490988
Batrachochytrium_GCA_000149865.1	133003	135076
Rhizopus_GCA_002083745.1	47792	391778
Ustulina_GCA_002081935.3	3081464	2327501
Polyrhizophydium_GCA_027604665.1	9594	103499
Gaertneriomyces_GCA_025558075.1	183303	158953
Colletotrichum_GCA_001563115.1	2055539	1849106
Blyttiomyces_GCA_027604625.1	13150	42097
Phlyctochytrium_GCA_025602905.1	211256	190903
Neofusicoccum_GCA_000385595.1	1688754	1131952
Reticulascus_GCA_001557505.1	3005175	952660
Rhizophlyctis_GCA_002214945.1	60545	245789
Talaromyces_GCA_001270325.1	1882010	867739
Orbilia_GCF_000225545.1	335650	767564
Verticillium_GCA_000732205.1	1109042	979623
Boothiomyces_GCA_027604245.1	90386	80068
Metschnikowia_GCA_002374405.1	0	126603
Baudoinia_GCF_000338955.1	279381	1014081
Batrachochytrium_GCA_002006685.2	66381	108812
Evernia_GCA_003184365.1	3091722	1997781
Schizosaccharomyces_GCA_000002945.2	75005	158589
