DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Terpene_Prop
COLOR	#FF0000
DATA
Phlyctochytrium_GCA_027600675.1	0.6
Phaeoacremonium_GCF_000392275.1	0.11538461538461539
Corynespora_GCA_003016335.1	0.13636363636363635
Paraphysoderma_GCA_025602915.1	0.6
Erythrobasidium_GCA_001600175.1	0.6
Chytriomyces_GCA_025201725.1	0.5714285714285714
Smittium_GCA_003086735.1	0.5
Taphrina_GCA_000836135.1	0.4444444444444444
Obelidium_GCA_025765595.1	0.3333333333333333
Polychytrium_GCF_025602895.1	0.046875
Monilinia_GCA_002162545.1	0.06818181818181818
Ustilago_GCF_000328475.2	0.15384615384615385
Chaetoscypha_GCA_003988945.1	0.1111111111111111
Gonapodya_GCA_001574975.1	0.6
Ramichloridium_GCA_002368545.1	0.17647058823529413
Mitosporidium_GCF_000760515.2	0.0
Corinectria_GCA_003385255.1	0.11904761904761904
Xylona_GCF_001619985.1	0.18518518518518517
Bipolaris_GCF_000354255.1	0.15384615384615385
Emmonsia_GCA_002572855.1	0.17647058823529413
Syncephalastrum_GCA_002105135.1	0.46153846153846156
Glonium_GCA_001692915.1	0.125
Alloascoidea_GCA_001600815.1	0.16666666666666666
Verruconis_GCA_000836295.1	0.15789473684210525
Mixia_GCF_000708205.1	0.5555555555555556
Podospora_GCA_900290415.1	0.17142857142857143
Homolaphlyctis_GCA_000235945.1	0.5
Eutypa_GCA_000349385.1	0.10606060606060606
Hyaloraphidium_GCA_025558095.1	0.6666666666666666
Geranomyces_GCA_027600685.1	0.26666666666666666
Aureobasidium_GCF_000721755.1	0.12903225806451613
Phialocephala_GCA_900073065.1	0.13924050632911392
Ascochyta_GCA_004335205.1	0.10256410256410256
Lobulomyces_GCA_027604685.1	0.42857142857142855
Irineochytrium_GCA_027600665.1	0.16666666666666666
Fragosphaeria_GCA_002778095.1	0.16666666666666666
Ascoidea_GCF_001661345.1	0.5
Gaertneriomyces_GCA_027603645.1	0.5
Tolypocladium_GCA_002916505.1	0.08108108108108109
Geranomyces_GCA_027602005.1	0.2857142857142857
Capsaspora_GCA_000151315.2	0.5714285714285714
Epichloe_GCA_002591845.1	0.125
Tuber_GCF_000151645.1	0.375
Spizellomyces_GCA_000182565.2	0.23076923076923078
Valsa_GCA_003795315.1	0.16666666666666666
Gonapodya_GCA_027604505.1	0.6
Oehlia_GCA_003833135.1	0.5555555555555556
Hyaloscypha_GCA_002865625.1	0.13333333333333333
Rhizopus_GCA_000149305.1	0.4666666666666667
Backusella_GCA_025399235.1	0.46153846153846156
Cephaloascus_GCA_003706495.1	0.6666666666666666
Bifiguratus_GCA_002261195.1	0.4
Chytridiales_GCA_027604305.1	0.125
Scedosporium_GCA_000812075.1	0.12903225806451613
Clydaea_GCA_027604065.1	0.42857142857142855
Physocladia_GCA_027596945.1	0.21428571428571427
Rhizoclosmatium_GCA_027604365.1	0.16666666666666666
Cryphonectria_GCA_003264845.1	0.15254237288135594
Rhizoclosmatium_GCA_002104985.1	0.3
Allomyces_GCA_027604705.1	0.5
Ascobolus_GCA_003788565.2	0.35714285714285715
Batrachochytrium_GCA_000149865.1	0.4
Rhizopus_GCA_002083745.1	0.46153846153846156
Ustulina_GCA_002081935.3	0.14285714285714285
Polyrhizophydium_GCA_027604665.1	0.23076923076923078
Gaertneriomyces_GCA_025558075.1	0.5
Colletotrichum_GCA_001563115.1	0.18571428571428572
Blyttiomyces_GCA_027604625.1	0.6666666666666666
Phlyctochytrium_GCA_025602905.1	0.5
Neofusicoccum_GCA_000385595.1	0.16363636363636364
Reticulascus_GCA_001557505.1	0.21739130434782608
Rhizophlyctis_GCA_002214945.1	0.5
Talaromyces_GCA_001270325.1	0.1956521739130435
Orbilia_GCF_000225545.1	0.2857142857142857
Verticillium_GCA_000732205.1	0.0967741935483871
Boothiomyces_GCA_027604245.1	0.5
Metschnikowia_GCA_002374405.1	0.6666666666666666
Baudoinia_GCF_000338955.1	0.2857142857142857
Batrachochytrium_GCA_002006685.2	0.5
Evernia_GCA_003184365.1	0.17857142857142858
Schizosaccharomyces_GCA_000002945.2	0.25
Martensiomyces_GCA_025201845.1	0.5
Chytriomyces_GCA_027604165.1	0.45454545454545453
Yarrowia_GCA_000002525.1	0.3333333333333333
Thermothielavioides_GCF_000226115.1	0.10344827586206896
Linderina_GCF_002104995.1	0.5
Paecilomyces_GCA_003990805.1	0.2
Batrachochytrium_GCA_000203795.1	0.5
Neocallimastix_GCA_002104975.1	0.06060606060606061
Microbotryum_GCA_900120095.1	0.6
Piromyces_GCA_002104945.1	0.1
Mucor_GCA_000950595.1	0.6363636363636364
Ophiognomonia_GCA_003671545.1	0.15463917525773196
Terramyces_GCA_027603945.1	0.3
Coemansia_GCA_002705745.1	0.25
Hanseniaspora_GCA_900119595.1	0.6666666666666666
Fonticula_GCA_000388065.2	0.3333333333333333
