DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	BGC_Genome_Prop
COLOR	#FF0000
DATA
Phlyctochytrium_GCA_027600675.1	0.005910252493981332
Phaeoacremonium_GCF_000392275.1	0.031067587368485854
Corynespora_GCA_003016335.1	0.09924548691924924
Paraphysoderma_GCA_025602915.1	0.006263328186027917
Erythrobasidium_GCA_001600175.1	0.010425717808718659
Chytriomyces_GCA_025201725.1	0.0057672090851847505
Smittium_GCA_003086735.1	0.002194860278506497
Taphrina_GCA_000836135.1	0.03461153003372432
Obelidium_GCA_025765595.1	0.010353532274736368
Polychytrium_GCF_025602895.1	0.06606605556526367
Monilinia_GCA_002162545.1	0.07337209228005227
Ustilago_GCF_000328475.2	0.03642203081043676
Chaetoscypha_GCA_003988945.1	0.04744633012932799
Gonapodya_GCA_001574975.1	0.0040729958350718505
Ramichloridium_GCA_002368545.1	0.07850595808781627
Mitosporidium_GCF_000760515.2	0.0
Corinectria_GCA_003385255.1	0.055187341325809186
Xylona_GCF_001619985.1	0.06672651205556986
Bipolaris_GCF_000354255.1	0.11954330315703819
Emmonsia_GCA_002572855.1	0.03254263956985159
Syncephalastrum_GCA_002105135.1	0.017538301171557594
Glonium_GCA_001692915.1	0.04401950499839295
Alloascoidea_GCA_001600815.1	0.011277516668989594
Verruconis_GCA_000836295.1	0.04124530432287795
Mixia_GCF_000708205.1	0.030629373360671685
Podospora_GCA_900290415.1	0.07308907150736026
Homolaphlyctis_GCA_000235945.1	0.005526347792089168
Eutypa_GCA_000349385.1	0.0609630667228276
Hyaloraphidium_GCA_025558095.1	0.007636124725824172
Geranomyces_GCA_027600685.1	0.03067904652774054
Aureobasidium_GCF_000721755.1	0.07506820146837251
Phialocephala_GCA_900073065.1	0.08235311169922514
Ascochyta_GCA_004335205.1	0.04746605278300689
Lobulomyces_GCA_027604685.1	0.008390480592405951
Irineochytrium_GCA_027600665.1	0.009775282817574523
Fragosphaeria_GCA_002778095.1	0.0459668957610159
Ascoidea_GCF_001661345.1	0.004106825109382353
Gaertneriomyces_GCA_027603645.1	0.016368480231098624
Tolypocladium_GCA_002916505.1	0.06435741206924463
Geranomyces_GCA_027602005.1	0.03060629413533209
Capsaspora_GCA_000151315.2	0.009878615304744065
Epichloe_GCA_002591845.1	0.06729796120736214
Tuber_GCF_000151645.1	0.0036544511801124705
Spizellomyces_GCA_000182565.2	0.03201388638777351
Valsa_GCA_003795315.1	0.10080885786534405
Gonapodya_GCA_027604505.1	0.005325946318427031
Oehlia_GCA_003833135.1	0.002371040592634237
Hyaloscypha_GCA_002865625.1	0.05779258036293577
Rhizopus_GCA_000149305.1	0.014780789033893961
Backusella_GCA_025399235.1	0.01038010941658513
Cephaloascus_GCA_003706495.1	0.005431495348987838
Bifiguratus_GCA_002261195.1	0.01682429740306312
Chytridiales_GCA_027604305.1	0.0062357229947120375
Scedosporium_GCA_000812075.1	0.04366231220196191
Clydaea_GCA_027604065.1	0.00444088665411011
Physocladia_GCA_027596945.1	0.004940407731403768
Rhizoclosmatium_GCA_027604365.1	0.00633722378918577
Cryphonectria_GCA_003264845.1	0.09217520461749845
Rhizoclosmatium_GCA_002104985.1	0.009521664975891325
Allomyces_GCA_027604705.1	0.006856022359753712
Ascobolus_GCA_003788565.2	0.014684549874577214
Batrachochytrium_GCA_000149865.1	0.011370007455763453
Rhizopus_GCA_002083745.1	0.01765905604216351
Ustulina_GCA_002081935.3	0.11629642531630241
Polyrhizophydium_GCA_027604665.1	0.004853884317781458
Gaertneriomyces_GCA_025558075.1	0.016361622373300518
Colletotrichum_GCA_001563115.1	0.07860360491391881
Blyttiomyces_GCA_027604625.1	0.0011949951706595515
Phlyctochytrium_GCA_025602905.1	0.012747458077761209
Neofusicoccum_GCA_000385595.1	0.06651198561965213
Reticulascus_GCA_001557505.1	0.0923253187199137
Rhizophlyctis_GCA_002214945.1	0.006578086447549438
Talaromyces_GCA_001270325.1	0.07096392177162557
Orbilia_GCF_000225545.1	0.027603667508035726
Verticillium_GCA_000732205.1	0.05806109874555125
Boothiomyces_GCA_027604245.1	0.013265547935210856
Metschnikowia_GCA_002374405.1	0.006217573372993898
Baudoinia_GCF_000338955.1	0.05915520591395649
Batrachochytrium_GCA_002006685.2	0.002388559075659418
Evernia_GCA_003184365.1	0.1263315942881423
Schizosaccharomyces_GCA_000002945.2	0.018552680601602006
Martensiomyces_GCA_025201845.1	0.007635409668566516
Chytriomyces_GCA_027604165.1	0.012400572307756168
Yarrowia_GCA_000002525.1	0.009082027391727853
Thermothielavioides_GCF_000226115.1	0.05666489200768438
Linderina_GCF_002104995.1	0.007287231068585131
Paecilomyces_GCA_003990805.1	0.07094245422355007
Batrachochytrium_GCA_000203795.1	0.007993638209598102
Neocallimastix_GCA_002104975.1	0.01056170100244635
Microbotryum_GCA_900120095.1	0.006781902619902974
