DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	PKS_Prop
COLOR	#FF0000
DATA
Phlyctochytrium_GCA_027600675.1	0.0
Phaeoacremonium_GCF_000392275.1	0.34615384615384615
Corynespora_GCA_003016335.1	0.45454545454545453
Paraphysoderma_GCA_025602915.1	0.0
Erythrobasidium_GCA_001600175.1	0.0
Chytriomyces_GCA_025201725.1	0.0
Smittium_GCA_003086735.1	0.0
Taphrina_GCA_000836135.1	0.0
Obelidium_GCA_025765595.1	0.1111111111111111
Polychytrium_GCF_025602895.1	0.0
Monilinia_GCA_002162545.1	0.4090909090909091
Ustilago_GCF_000328475.2	0.07692307692307693
Chaetoscypha_GCA_003988945.1	0.4444444444444444
Gonapodya_GCA_001574975.1	0.0
Ramichloridium_GCA_002368545.1	0.3235294117647059
Mitosporidium_GCF_000760515.2	0.0
Corinectria_GCA_003385255.1	0.40476190476190477
Xylona_GCF_001619985.1	0.37037037037037035
Bipolaris_GCF_000354255.1	0.35384615384615387
Emmonsia_GCA_002572855.1	0.058823529411764705
Syncephalastrum_GCA_002105135.1	0.0
Glonium_GCA_001692915.1	0.35714285714285715
Alloascoidea_GCA_001600815.1	0.0
Verruconis_GCA_000836295.1	0.2631578947368421
Mixia_GCF_000708205.1	0.0
Podospora_GCA_900290415.1	0.5428571428571428
Homolaphlyctis_GCA_000235945.1	0.0
Eutypa_GCA_000349385.1	0.5151515151515151
Hyaloraphidium_GCA_025558095.1	0.0
Geranomyces_GCA_027600685.1	0.2
Aureobasidium_GCF_000721755.1	0.3225806451612903
Phialocephala_GCA_900073065.1	0.3037974683544304
Ascochyta_GCA_004335205.1	0.358974358974359
Lobulomyces_GCA_027604685.1	0.0
Irineochytrium_GCA_027600665.1	0.3333333333333333
Fragosphaeria_GCA_002778095.1	0.3333333333333333
Ascoidea_GCF_001661345.1	0.0
Gaertneriomyces_GCA_027603645.1	0.16666666666666666
Tolypocladium_GCA_002916505.1	0.32432432432432434
Geranomyces_GCA_027602005.1	0.21428571428571427
Capsaspora_GCA_000151315.2	0.0
Epichloe_GCA_002591845.1	0.3125
Tuber_GCF_000151645.1	0.25
Spizellomyces_GCA_000182565.2	0.07692307692307693
Valsa_GCA_003795315.1	0.5166666666666667
Gonapodya_GCA_027604505.1	0.0
Oehlia_GCA_003833135.1	0.0
Hyaloscypha_GCA_002865625.1	0.26666666666666666
Rhizopus_GCA_000149305.1	0.0
Backusella_GCA_025399235.1	0.0
Cephaloascus_GCA_003706495.1	0.0
Bifiguratus_GCA_002261195.1	0.1
Chytridiales_GCA_027604305.1	0.125
Scedosporium_GCA_000812075.1	0.41935483870967744
Clydaea_GCA_027604065.1	0.0
Physocladia_GCA_027596945.1	0.14285714285714285
Rhizoclosmatium_GCA_027604365.1	0.16666666666666666
Cryphonectria_GCA_003264845.1	0.4915254237288136
Rhizoclosmatium_GCA_002104985.1	0.1
Allomyces_GCA_027604705.1	0.0
Ascobolus_GCA_003788565.2	0.21428571428571427
Batrachochytrium_GCA_000149865.1	0.0
Rhizopus_GCA_002083745.1	0.0
Ustulina_GCA_002081935.3	0.42857142857142855
Polyrhizophydium_GCA_027604665.1	0.0
Gaertneriomyces_GCA_025558075.1	0.16666666666666666
Colletotrichum_GCA_001563115.1	0.35714285714285715
Blyttiomyces_GCA_027604625.1	0.0
Phlyctochytrium_GCA_025602905.1	0.0
Neofusicoccum_GCA_000385595.1	0.36363636363636365
Reticulascus_GCA_001557505.1	0.5217391304347826
Rhizophlyctis_GCA_002214945.1	0.0
Talaromyces_GCA_001270325.1	0.41304347826086957
Orbilia_GCF_000225545.1	0.23809523809523808
Verticillium_GCA_000732205.1	0.41935483870967744
Boothiomyces_GCA_027604245.1	0.0
Metschnikowia_GCA_002374405.1	0.0
Baudoinia_GCF_000338955.1	0.09523809523809523
Batrachochytrium_GCA_002006685.2	0.0
Evernia_GCA_003184365.1	0.5119047619047619
Schizosaccharomyces_GCA_000002945.2	0.0
Martensiomyces_GCA_025201845.1	0.0
Chytriomyces_GCA_027604165.1	0.09090909090909091
Yarrowia_GCA_000002525.1	0.0
Thermothielavioides_GCF_000226115.1	0.4827586206896552
Linderina_GCF_002104995.1	0.0
Paecilomyces_GCA_003990805.1	0.2571428571428571
Batrachochytrium_GCA_000203795.1	0.0
Neocallimastix_GCA_002104975.1	0.2727272727272727
Microbotryum_GCA_900120095.1	0.0
Piromyces_GCA_002104945.1	0.7
Mucor_GCA_000950595.1	0.0
Ophiognomonia_GCA_003671545.1	0.41237113402061853
Terramyces_GCA_027603945.1	0.0
Coemansia_GCA_002705745.1	0.0
Hanseniaspora_GCA_900119595.1	0.0
Fonticula_GCA_000388065.2	0.3333333333333333
Kappamyces_GCA_027604465.1	0.0
Aspergillus_GCA_003574815.1	0.4339622641509434
Pestalotiopsis_GCF_000516985.1	0.34782608695652173
