DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Complete_BGC_Count
COLOR	#FF0000
DATA
Phlyctochytrium_GCA_027600675.1	0
Phaeoacremonium_GCF_000392275.1	19
Corynespora_GCA_003016335.1	56
Paraphysoderma_GCA_025602915.1	4
Erythrobasidium_GCA_001600175.1	5
Chytriomyces_GCA_025201725.1	1
Smittium_GCA_003086735.1	0
Taphrina_GCA_000836135.1	9
Obelidium_GCA_025765595.1	7
Polychytrium_GCF_025602895.1	61
Monilinia_GCA_002162545.1	41
Ustilago_GCF_000328475.2	9
Chaetoscypha_GCA_003988945.1	7
Gonapodya_GCA_001574975.1	5
Ramichloridium_GCA_002368545.1	27
Mitosporidium_GCF_000760515.2	0
Corinectria_GCA_003385255.1	15
Xylona_GCF_001619985.1	24
Bipolaris_GCF_000354255.1	40
Emmonsia_GCA_002572855.1	10
Syncephalastrum_GCA_002105135.1	12
Glonium_GCA_001692915.1	3
Alloascoidea_GCA_001600815.1	4
Verruconis_GCA_000836295.1	15
Mixia_GCF_000708205.1	9
Podospora_GCA_900290415.1	34
Homolaphlyctis_GCA_000235945.1	2
Eutypa_GCA_000349385.1	19
Hyaloraphidium_GCA_025558095.1	5
Geranomyces_GCA_027600685.1	10
Aureobasidium_GCF_000721755.1	24
Phialocephala_GCA_900073065.1	68
Ascochyta_GCA_004335205.1	9
Lobulomyces_GCA_027604685.1	0
Irineochytrium_GCA_027600665.1	0
Fragosphaeria_GCA_002778095.1	23
Ascoidea_GCF_001661345.1	1
Gaertneriomyces_GCA_027603645.1	5
Tolypocladium_GCA_002916505.1	8
Geranomyces_GCA_027602005.1	8
Capsaspora_GCA_000151315.2	7
Epichloe_GCA_002591845.1	13
Tuber_GCF_000151645.1	7
Spizellomyces_GCA_000182565.2	8
Valsa_GCA_003795315.1	41
Gonapodya_GCA_027604505.1	3
Oehlia_GCA_003833135.1	5
Hyaloscypha_GCA_002865625.1	39
Rhizopus_GCA_000149305.1	15
Backusella_GCA_025399235.1	4
Cephaloascus_GCA_003706495.1	1
Bifiguratus_GCA_002261195.1	4
Chytridiales_GCA_027604305.1	2
Scedosporium_GCA_000812075.1	9
Clydaea_GCA_027604065.1	1
Physocladia_GCA_027596945.1	0
Rhizoclosmatium_GCA_027604365.1	1
Cryphonectria_GCA_003264845.1	35
Rhizoclosmatium_GCA_002104985.1	9
Allomyces_GCA_027604705.1	5
Ascobolus_GCA_003788565.2	13
Batrachochytrium_GCA_000149865.1	5
Rhizopus_GCA_002083745.1	6
Ustulina_GCA_002081935.3	33
Polyrhizophydium_GCA_027604665.1	0
Gaertneriomyces_GCA_025558075.1	5
Colletotrichum_GCA_001563115.1	25
Blyttiomyces_GCA_027604625.1	0
Phlyctochytrium_GCA_025602905.1	6
Neofusicoccum_GCA_000385595.1	15
Reticulascus_GCA_001557505.1	43
Rhizophlyctis_GCA_002214945.1	3
Talaromyces_GCA_001270325.1	37
Orbilia_GCF_000225545.1	18
Verticillium_GCA_000732205.1	30
Boothiomyces_GCA_027604245.1	1
Metschnikowia_GCA_002374405.1	3
Baudoinia_GCF_000338955.1	21
Batrachochytrium_GCA_002006685.2	4
Evernia_GCA_003184365.1	47
Schizosaccharomyces_GCA_000002945.2	4
Martensiomyces_GCA_025201845.1	3
Chytriomyces_GCA_027604165.1	1
Yarrowia_GCA_000002525.1	3
Thermothielavioides_GCF_000226115.1	28
Linderina_GCF_002104995.1	6
Paecilomyces_GCA_003990805.1	34
Batrachochytrium_GCA_000203795.1	4
Neocallimastix_GCA_002104975.1	26
Microbotryum_GCA_900120095.1	5
Piromyces_GCA_002104945.1	9
Mucor_GCA_000950595.1	8
Ophiognomonia_GCA_003671545.1	33
Terramyces_GCA_027603945.1	4
Coemansia_GCA_002705745.1	3
Hanseniaspora_GCA_900119595.1	2
Fonticula_GCA_000388065.2	3
Kappamyces_GCA_027604465.1	0
Aspergillus_GCA_003574815.1	44
Pestalotiopsis_GCF_000516985.1	91
Geranomyces_GCA_027603065.1	13
Chytriomyces_GCA_027604085.1	1
Basidiobolus_GCA_002104905.1	11
Rozella_GCA_000442015.1	0
Geranomyces_GCA_027601485.1	12
Entophlyctis_GCA_027604545.1	1
Cystobasidiopsis_GCA_001599975.1	8
Chytridium_GCA_025449115.1	5
Thoreauomyces_GCA_027596035.1	0
Elaphomyces_GCA_002240705.1	0
Cladosporium_GCA_000261425.2	17
Umbelopsis_GCF_025399195.1	8
Endocalyx_GCA_001600455.1	80
Gorgonomyces_GCA_025526955.1	4
Clohesyomyces_GCA_002105025.1	29
Pseudomassariella_GCF_002105095.1	63
Globomyces_GCA_027595885.1	2
Allomyces_GCA_000151295.1	10
Uncinocarpus_GCA_000003515.2	23
Synchytrium_GCA_006535955.1	1
Neoconidiobolus_GCA_025603075.1	1
Powellomyces_GCA_006536005.1	6
Gyalolechia_GCA_000442125.1	40
