Protein	Chrom	Position	Type
GCA_000827335|CDS_7109	KN831957.1	992761.5	Other
GCA_000827335|CDS_7421	KN831959.1	77617.5	Other
GCA_000827335|CDS_6067	KN831955.1	297168.0	HET
GCA_000827335|CDS_6272	KN831955.1	1010264.0	HET
GCA_000827335|CDS_6063	KN831955.1	292591.0	HET
GCA_000827335|CDS_7838	KN831960.1	402062.0	HET
GCA_000827335|CDS_6086	KN831955.1	358982.0	HET
GCA_000827335|CDS_6072	KN831955.1	306386.0	HET
GCA_000827335|CDS_3060	KN831948.1	404468.5	HET
GCA_000827335|CDS_6179	KN831955.1	604198.0	HET
GCA_000827335|CDS_7589	KN831959.1	650546.5	HET
GCA_000827335|CDS_3233	KN831948.1	1153756.0	HET
GCA_000827335|CDS_6097	KN831955.1	408473.5	HET
GCA_000827335|CDS_4318	KN831951.1	53286.5	HET
GCA_000827335|CDS_687	KN831944.1	2070336.0	HET
GCA_000827335|CDS_7665	KN831959.1	819083.0	HET
GCA_000827335|CDS_3927	KN831950.1	364266.5	HET
GCA_000827335|CDS_6210	KN831955.1	726779.0	HET
GCA_000827335|CDS_7669	KN831959.1	825292.5	HET
GCA_000827335|CDS_2498	KN831947.1	690860.5	HET
GCA_000827335|CDS_6103	KN831955.1	419410.0	HET
GCA_000827335|CDS_3952	KN831950.1	412500.5	HET
GCA_000827335|CDS_6309	KN831955.1	1071966.0	HET
GCA_000827335|CDS_4475	KN831951.1	480014.0	HET
GCA_000827335|CDS_6300	KN831955.1	1059544.0	HET
GCA_000827335|CDS_6164	KN831955.1	566645.5	HET
GCA_000827335|CDS_3966	KN831950.1	459553.0	HET
GCA_000827335|CDS_6241	KN831955.1	807302.5	HET
GCA_000827335|CDS_6315	KN831955.1	1083123.5	HET
GCA_000827335|CDS_3206	KN831948.1	1053406.5	HET
GCA_000827335|CDS_7667	KN831959.1	822424.5	HET
GCA_000827335|CDS_2080	KN831946.1	1429382.5	HET
GCA_000827335|CDS_4462	KN831951.1	448234.0	HET
GCA_000827335|CDS_2227	KN831947.1	136229.5	HET
GCA_000827335|CDS_2234	KN831947.1	153255.0	HET
GCA_000827335|CDS_6313	KN831955.1	1078213.0	HET
GCA_000827335|CDS_6073	KN831955.1	309810.5	HET
GCA_000827335|CDS_6045	KN831955.1	236552.0	HET
GCA_000827335|CDS_1329	KN831945.1	1271108.0	Other
GCA_000827335|CDS_3526	KN831949.1	509167.0	Other
GCA_000827335|CDS_2768	KN831947.1	1166864.5	Other
GCA_000827335|CDS_7968	KN831960.1	926218.0	Other
GCA_000827335|CDS_6405	KN831956.1	314714.0	Other
GCA_000827335|CDS_3412	KN831949.1	259416.0	Other
GCA_000827335|CDS_7861	KN831960.1	454161.0	Other
