DATASET_SIMPLEBAR
SEPARATOR TAB
COLOR	#000000
DATASET_LABEL	IS Counts
DATA
GCA_900090315|BFNJ_005703|K16016|hit	3
GCA_000719815|BKCZ_002921|K16016|	13
GCA_001865635|ATWP_002561|K16016|	14
GCA_000145235|BVKR_002442|K16016|hit	7
GCA_019038635|ACWF_006334|K16016|hit	6
GCA_001932475|BSVL_002128|K16016|hit	3
GCA_000220705|AZLJ_000785|K16016|	4
GCA_011801125|AFQA_005560|K16016|	5
GCA_014764405|BNUA_001474|K16016|	16
GCA_018316795|BLSF_003244|K16016|hit	3
GCA_002240155|AGMF_002524|K16016|	4
GCA_001936215|AIRV_001804|K16016|	11
GCA_000298095|AKLE_002838|K16016|	4
GCA_000364405|BOPL_004278|K16016|	5
GCA_000696735|AKCL_002661|K16016|	4
GCA_002166795|AREY_003240|K16016|	4
GCA_002219245|ASAH_003228|K16016|	4
GCA_002219265|AHUU_003331|K16016|	4
GCA_002240155|AGMF_003046|K16016|	6
GCA_002285675|AAWG_002862|K16016|	3
GCA_002292525|ALQU_003990|K16016|	3
GCA_004345205|ACIX_002849|K16016|	5
GCA_005518055|ANAY_004410|K16016|	10
GCA_009002535|BRNK_002943|K16016|	5
GCA_024611995|AFPQ_002504|K16016|hit	1
GCA_022340055|BSAE_004078|K16016|	3
GCA_018308945|AXUL_001904|K16016|	1
GCA_014873875|BXWQ_001649|K16016|	6
GCA_024172085|APCA_007891|K16016|	3
GCA_007829995|BUMZ_003195|K16016|hit	2
GCA_014680085|AZHK_004913|K16016|hit	2
GCA_001931635|AEOG_006085|K16016|hit	2
GCA_000237145|AKOZ_006133|K16016|	8
GCA_002717025|BOXQ_006123|K16016|	8
GCA_900119315|AAWA_006122|K16016|	8
GCA_003865135|ATKU_000462|K16016|	6
GCA_003595545|BMWP_001879|K16016|hit	6
GCA_007830265|AUSY_002068|K16016|	2
GCA_000062885|ATKS_002834|K16016|hit	4
GCA_002564065|BAOQ_003207|K16016|hit	4
GCA_016859185|BEBF_002950|K16016|hit	4
GCA_900105695|AOQU_005508|K16016|hit	1
GCA_016756035|BKJA_003068|K16016|	7
GCA_001750065|ANEB_002625|K16016|	4
GCA_001938095|AOBI_004435|K16016|	8
GCA_002219265|AHUU_002799|K16016|	6
GCA_002219285|BWQP_002686|K16016|	8
GCA_009664715|BRBU_002802|K16016|	8
GCA_020412425|AWKO_002657|K16016|	6
GCA_900116695|AXFJ_002706|K16016|	6
GCA_013407855|ARIM_000241|K16016|	5
GCA_014200435|ATLX_004094|K16016|hit	1
GCA_900102195|BOAX_000039|K16016|hit	1
GCA_003751085|ABPN_002407|K16016|hit	8
GCA_001932425|AUOQ_003963|K16016|hit	3
GCA_003408515|BDVS_003032|K16016|hit	1
GCA_000177655|AIBU_005911|K16016|hit	1
GCA_000156455|BXLU_000423|K16016|hit	2
GCA_000156695|ALYF_000589|K16016|hit	2
GCA_009862965|ALXN_000423|K16016|hit	2
GCA_023716005|BUKM_006336|K16016|hit	2
GCA_003435025|ABBC_001464|K16016|hit	1
GCA_015244315|APRD_000813|K16016|hit	3
GCA_020982505|AUOD_000929|K16016|	2
GCA_900101685|AMCE_001789|K16016|	2
GCA_020496225|AYBK_001650|K16016|hit	5
GCA_018324255|ABSU_006148|K16016|hit	2
GCA_014203855|AHAX_005834|K16016|hit	2
GCA_003595545|BMWP_007727|K16016|hit	1
GCA_002021875|BELR_002344|K16016|hit	1
GCA_000262465|AITS_003918|K16016|hit	4
GCA_004342025|AFET_002499|K16016|	2
GCA_021183725|AKQM_005265|K16016|	5
GCA_024494415|BHBW_002800|K16016|	8
GCA_000744225|ARXQ_001926|K16016|hit	1
GCA_900105385|ABDA_002884|K16016|	4
GCA_002214185|BVRH_004313|K16016|	2
GCA_014653855|BJYQ_001461|K16016|	3
GCA_011766325|BPTJ_004321|K16016|hit	2
GCA_001445655|BFIJ_002222|K16016|hit	1
GCA_900090255|BUQH_001435|K16016|hit	2
GCA_004405155|BBSP_001356|K16016|hit	1
GCA_014203355|ALPJ_004923|K16016|hit	1
GCA_007829995|BUMZ_000045|K16016|	2
GCA_014680085|AZHK_002232|K16016|	2
GCA_000013345|ATLZ_000449|K16016|hit	3
GCA_013085465|BPDQ_008557|K16016|hit	4
GCA_003351365|AJTH_004008|K16016|hit	2
GCA_002077655|BFFY_004493|K16016|hit	2
GCA_005862235|ANUG_003764|K16016|hit	1
GCA_022392385|ANGO_001567|K16016|hit	3
GCA_009811595|AGKQ_000105|K16016|	1
GCA_014649275|BCRZ_006447|K16016|	1
GCA_020092365|AUZL_003780|K16016|hit	3
GCA_900091475|ALSF_005997|K16016|	3
GCA_900090325|AFGA_002174|K16016|hit	2
GCA_002705965|ANNX_000674|K16016|	3
GCA_009664715|BRBU_003339|K16016|	3
GCA_013408535|AHTZ_005502|K16016|	2
GCA_014651075|AKFE_002197|K16016|	3
GCA_021029465|AMEZ_007842|K16016|hit	1
GCA_018141105|BGGV_004927|K16016|hit	1
GCA_017526105|AJCT_000218|K16016|hit	2
GCA_003182415|ATGM_004067|K16016|	1
GCA_002021875|BELR_007768|K16016|hit	4
GCA_014194655|ALSR_006932|K16016|hit	2
GCA_014645815|AOIN_008336|K16016|hit	1
GCA_001855515|BVNH_001568|K16016|hit	2
GCA_000023245|AARB_003274|K16016|hit	1
GCA_001426425|BPUV_006066|K16016|hit	1
GCA_007829815|AUOL_004499|K16016|	2
GCA_002354875|BCBS_003251|K16016|hit	3
GCA_013387285|BJGD_005745|K16016|hit	3
GCA_014873875|BXWQ_007883|K16016|	1
GCA_013389765|BOUW_002034|K16016|hit	6
GCA_014205165|BIXG_003898|K16016|hit	6
GCA_000876225|ARCS_002267|K16016|hit	5
GCA_020884815|AQLB_001067|K16016|hit	5
GCA_000720305|AWRU_000455|K16016|	3
GCA_014706005|BLZG_005635|K16016|hit	1
GCA_001995215|AKDU_003015|K16016|hit	2
GCA_004138495|AVCD_005952|K16016|	1
GCA_000568255|ABGF_009517|K16016|hit	2
GCA_001905845|BXET_003284|K16016|hit	2
GCA_000381885|BAPV_003143|K16016|	3
GCA_900091585|BQGK_000198|K16016|hit	1
GCA_009739905|BJCN_001412|K16016|	2
GCA_010550695|BAJZ_003513|K16016|	1
GCA_000718635|BIGF_003423|K16016|	2
GCA_000719255|AESL_001299|K16016|	2
GCA_003116685|BLRM_001149|K16016|hit	1
GCA_009497075|AAWD_007208|K16016|	1
GCA_006334985|BVOB_000245|K16016|	1
GCA_025133285|AETV_003409|K16016|hit	1
GCA_008079355|BEXT_002943|K16016|	4
GCA_008000995|BGBO_003468|K16016|	3
GCA_014205295|AMCV_003408|K16016|	1
GCA_020092645|AJML_003197|K16016|hit	1
GCA_013364255|BSUQ_000156|K16016|hit	1
GCA_000429185|ACHB_000906|K16016|hit	1
GCA_020092565|ASSW_002627|K16016|hit	1
GCA_020092605|AGAT_005383|K16016|hit	1
GCA_020092675|AWIT_005415|K16016|hit	1
GCA_020092695|APMN_001672|K16016|hit	1
GCA_023805375|ACPF_001519|K16016|hit	1
GCA_021165735|BBFW_001490|K16016|hit	1
GCA_001514305|BDPI_000048|K16016|hit	1
GCA_000384215|BUHW_007786|K16016|hit	1
GCA_002354875|BCBS_003204|K16016|hit	1
GCA_013387285|BJGD_005698|K16016|hit	1
GCA_024171695|AMXV_005532|K16016|hit	1
GCA_000761215|AQNZ_000248|K16016|	2
GCA_001905885|ADEL_003409|K16016|	2
GCA_023838445|AMDX_002715|K16016|	1
GCA_001536285|AFQO_004057|K16016|hit	1
GCA_014895535|BKQJ_007284|K16016|hit	1
GCA_001747425|BQJF_001169|K16016|	1
GCA_014203365|ATNE_004232|K16016|	1
GCA_001306465|APFI_001608|K16016|hit	1
GCA_001983215|ADQR_005232|K16016|hit	1
GCA_014203395|BEFW_006219|K16016|	1
GCA_002705925|BBCF_002884|K16016|	1
GCA_016756295|BQYU_002831|K16016|	1
GCA_001905005|AJWZ_004146|K16016|	4
GCA_001905795|BDYM_006062|K16016|	3
GCA_008630535|ASMZ_004437|K16016|	2
GCA_019581175|BIZR_001593|K16016|hit	1
GCA_900091465|ABNW_003295|K16016|	1
GCA_011765725|BCUI_005259|K16016|hit	1
GCA_001746425|BRIK_005204|K16016|hit	1
GCA_000384175|ALEV_002163|K16016|hit	1
GCA_900090225|BTAJ_004109|K16016|	2
GCA_003675325|APHE_000891|K16016|hit	1
GCA_020739505|BKIN_000829|K16016|	2
GCA_003030385|BVFT_004332|K16016|hit	1
GCA_000826545|AKAL_000334|K16016|	1
GCA_019947135|BJZK_000535|K16016|	1
GCA_900091495|BDGU_002265|K16016|	1
GCA_900091415|AAEO_004280|K16016|	1
GCA_900090325|AFGA_005382|K16016|	1
GCA_003865155|BDLN_000323|K16016|	2
GCA_008704425|BDDS_005320|K16016|	1
GCA_023376055|BLZV_004739|K16016|	1
GCA_001750785|ACIQ_005051|K16016|	1
GCA_017168205|BMOQ_007436|K16016|	2
GCA_004331465|BVBV_005654|K16016|	1
GCA_004331485|AIIY_005499|K16016|	1
GCA_900105395|BAYZ_007095|K16016|	2
GCA_003994375|ABBT_007674|K16016|	2
GCA_004125275|AMWJ_007690|K16016|	2
GCA_000177175|ABLN_006221|K16016|	2
GCA_009863155|BSZF_006221|K16016|	2
GCA_000717795|BCMB_004814|K16016|	2
GCA_009862415|BPFF_006126|K16016|	2
GCA_900090075|AKKE_001439|K16016|	2
GCA_000010605|AIJT_005906|K16016|	2
GCA_009862245|AFGU_005906|K16016|	2
GCA_019389735|BNBQ_006185|K16016|	2
GCA_019389775|AMGE_006702|K16016|	2
GCA_019389795|AWWV_000154|K16016|	2
GCA_019389835|BNWK_006708|K16016|	2
GCA_900105705|BQPP_001401|K16016|	2
GCA_022751215|BABP_001822|K16016|hit	2
GCA_022751195|BUIY_006873|K16016|hit	1
GCA_009733595|ABUR_007136|K16016|hit	1
GCA_018603865|BMXF_004589|K16016|hit	1
GCA_004365875|BXPX_000569|K16016|	1
GCA_002847285|BKRW_004162|K16016|	1
GCA_014649075|AYRA_003132|K16016|hit	2
GCA_016860545|AYIK_004647|K16016|hit	2
GCA_014263315|BVVP_000153|K16016|	2
GCA_014138665|BEXN_007429|K16016|	1
GCA_011764565|BUSA_007548|K16016|	1
GCA_009708215|ADJS_004906|K16016|	1
GCA_020439435|APBV_004053|K16016|	1
GCA_003386555|BAAX_000165|K16016|hit	1
GCA_004217145|AVMB_004187|K16016|	1
GCA_005233875|APUQ_000346|K16016|	1
GCA_013409365|AXCI_004747|K16016|	1
GCA_020884795|BTXO_000121|K16016|hit	1
GCA_000611795|BIXX_003987|K16016|	2
GCA_000373685|AUPP_001588|K16016|	2
GCA_001040905|ALPP_007715|K16016|hit	1
GCA_004353505|AUTN_000490|K16016|	1
