rifA	AAC01710.1	100	4735	0	0	1	4735	1	4735	0.0	9010
rifA	AAC01711.1	47.8	5060	1568	81	626	4675	29	5033	0.0	3695
rifA	AAC01714.1	40.1	4399	1246	67	632	4656	31	3411	0.0	2353
rifA	AAC01713.1	61.8	1637	512	34	632	2177	34	1648	0.0	1709
rifA	AAC01712.2	60.8	1670	518	28	631	2177	35	1690	0.0	1705
rifB	AAC01711.1	100	5060	0	0	1	5060	1	5060	0.0	9627
rifB	AAC01714.1	64.0	3424	1032	58	35	3304	31	3409	0.0	3846
rifB	AAC01710.1	47.7	5062	1578	79	29	5033	626	4675	0.0	3724
rifB	AAC01712.2	70.2	1700	451	21	3323	5008	36	1693	0.0	2192
rifB	AAC01713.1	68.6	1691	439	25	3323	5001	34	1644	0.0	2103
rifC	AAC01712.2	100	1763	0	0	1	1763	1	1763	0.0	3359
rifC	AAC01711.1	70.2	1700	451	21	36	1693	3323	5008	0.0	2183
rifC	AAC01714.1	69.2	1714	459	25	34	1686	1700	3405	0.0	2122
rifC	AAC01713.1	68.0	1697	465	21	13	1690	11	1648	0.0	2089
rifC	AAC01710.1	60.8	1670	517	28	35	1690	631	2177	0.0	1727
rifD	AAC01713.1	100	1728	0	0	1	1728	1	1728	0.0	3304
rifD	AAC01711.1	68.6	1691	439	25	34	1644	3323	5001	0.0	2098
rifD	AAC01712.2	65.9	1774	521	24	9	1722	11	1760	0.0	2098
rifD	AAC01714.1	66.3	1719	465	28	34	1648	1702	3409	0.0	2008
rifD	AAC01710.1	61.7	1637	514	34	34	1648	632	2177	0.0	1731
rifE	AAC01714.1	100	3413	0	0	1	3413	1	3413	0.0	6515
rifE	AAC01711.1	63.9	3433	1036	58	26	3409	30	3304	0.0	3837
rifE	AAC01710.1	40.0	4398	1242	69	31	3411	632	4656	0.0	2368
rifE	AAC01712.2	69.2	1714	459	25	1700	3405	34	1686	0.0	2120
rifE	AAC01713.1	66.3	1719	465	28	1702	3409	34	1648	0.0	2005
rifG	AAC01717.1	100	351	0	0	1	351	1	351	2.61e-255	686
