DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Conidiation-associated homologs
COLOR	#000000
DATA
Drosophila_melanogaster_GCA_000001215	2
Yarrowia_lipolytica_CLIB122_GCA_000002525	4
Monosiga_brevicollis_MX1_GCA_000002865	2
Schizosaccharomyces_pombe_GCA_000002945	2
Uncinocarpus_reesii_1704_GCA_000003515	6
Saccharomyces_cerevisiae_S288C_GCA_000146045	2
Parastagonospora_nodorum_SN15_GCA_000146915	7
Rhizopus_delemar_RA_99-880_GCA_000149305	2
Batrachochytrium_dendrobatidis_JEL423_GCA_000149865	1
Puccinia_graminis_f._sp._tritici_CRL_75-36-700-3_GCA_000149925	5
Allomyces_macrogynus_ATCC_38327_GCA_000151295	0
Capsaspora_owczarzaki_ATCC_30864_GCA_000151315	3
Tuber_melanosporum_GCA_000151645	7
Spizellomyces_punctatus_DAOM_BR117_GCA_000182565	2
Coprinopsis_cinerea_okayama7#130_GCA_000182895	3
Neurospora_crassa_OR74A_GCA_000182925	7
Batrachochytrium_dendrobatidis_JAM81_GCA_000203795	1
Orbilia_oligospora_ATCC_24927_GCA_000225545	7
Thermothielavioides_terrestris_NRRL_8126_GCA_000226115	6
Homolaphlyctis_polyrhiza_JEL_142_GCA_000235945	0
Cladosporium_sphaerospermum_UM_843_GCA_000261425	6
Wickerhamomyces_ciferrii_GCA_000313485	4
Ustilago_maydis_521_GCA_000328475	2
Baudoinia_panamericana_UAMH_10762_GCA_000338955	7
Eutypa_lata_UCREL1_GCA_000349385	7
Bipolaris_maydis_ATCC_48331_GCA_000354255	5
Cyphellophora_europaea_CBS_101466_GCA_000365145	7
Neofusicoccum_parvum_UCRNP2_GCA_000385595	5
Fonticula_alba_GCA_000388065	1
Phaeoacremonium_minimum_UCRPA7_GCA_000392275	6
Wallemia_ichthyophaga_EXF-994_GCA_000400465	3
Mucor_circinelloides_1006PhL_GCA_000401635	2
Pecoramyces_ruminantium_GCA_000412615	1
Pseudozyma_flocculosa_PF-1_GCA_000417875	2
Rozella_allomycis_CSF55_GCA_000442015	3
Gyalolechia_flavorubescens_KoLRI002931_GCA_000442125	8
Zygosaccharomyces_bailii_CLIB_213_GCA_000442885	1
Endocarpon_pusillum_Z07020_GCA_000464535	7
Hysterium_pulicare_CBS_123377_GCA_000467715	7
Helminthosporium_solani_B-AC-16A_GCA_000498615	6
Pestalotiopsis_fici_W106-1_GCA_000516985	8
Neurospora_sublineolata_FGSC_5508_GCA_000604185	4
Umbilicaria_muehlenbergii_GCA_000611775	6
Saksenaea_vasiformis_B4078_GCA_000697055	2
Umbelopsis_isabellina_B7317_GCA_000697415	0
Basidiobolus_heterosporus_B8920_GCA_000697455	2
Mixia_osmundae_IAM_14324_GCA_000708205	3
Aureobasidium_subglaciale_EXF-2481_GCA_000721755	7
Verticillium_tricorpus_MUCL_9792_GCA_000732205	6
Venturia_pyrina_ICMP_11032_GCA_000738655	6
Mitosporidium_daphniae_GCA_000760515	1
Scedosporium_aurantiacum_GCA_000812075	7
Lanzia_echinophila_GCA_000812885	7
Taphrina_wiesneri_JCM_22204_GCA_000836135	3
Verruconis_gallopava_GCA_000836295	6
Fonsecaea_multimorphosa_CBS_102226_GCA_000836435	7
Mucor_ambiguus_GCA_000950595	2
Clonostachys_rosea_GCA_000963775	8
Thielaviopsis_punctulata_GCA_000968615	3
Baeospora_myosura_GCA_001179705	3
Talaromyces_purpureogenus_GCA_001270325	8
Diaporthe_aspalathi_GCA_001447215	6
Trichoderma_gamsii_GCA_001481775	6
Knoxdaviesia_proteae_GCA_001510565	7
Graphilbum_fragrans_GCA_001513895	8
Reticulascus_tulasneorum_GCA_001557505	9
Colletotrichum_nymphaeae_SA-01_GCA_001563115	7
Microdochium_bolleyi_GCA_001566295	7
Conidiobolus_coronatus_NRRL_28638_GCA_001566745	1
Gonapodya_prolifera_JEL478_GCA_001574975	0
Beverwykella_pulmonaria_GCA_001599595	7
Phaeotremella_skinneri_GCA_001599695	2
Cystobasidiopsis_lactophilus_GCA_001599975	4
Erythrobasidium_yunnanense_GCA_001600175	3
Endocalyx_cinctus_GCA_001600455	8
Alloascoidea_hylecoeti_GCA_001600815	3
Phyllosticta_capitalensis_GCA_001604925	6
Xylona_heveae_TC161_GCA_001619985	8
Calocera_viscosa_TUFC12733_GCA_001630345	2
Ascosphaera_apis_ARSEF_7405_GCA_001636715	6
Cordyceps_fumosorosea_ARSEF_2679_GCA_001636725	7
Phycomyces_blakesleeanus_NRRL_1555_-__GCA_001638985	2
Paraphaeosphaeria_sporulosa_GCA_001642045	7
Linnemannia_elongata_AG-77_GCA_001651415	3
Leptoxyphium_fumago_GCA_001660795	7
Ascoidea_rubescens_DSM_1968_GCA_001661345	3
_Candida__arabinofermentans_NRRL_YB-2248_GCA_001661425	3
Pseudogymnoascus_verrucosus_GCA_001662655	6
Lepidopterella_palustris_CBS_459.81_GCA_001692735	7
Glonium_stellatum_GCA_001692915	7
Neolecta_irregularis_DAH-3_GCA_001929475	3
Ramalina_peruviana_GCA_001956345	6
Batrachochytrium_salamandrivorans_GCA_002006685	1
Ustulina_deusta_GCA_002081935	7
Rhizopus_microsporus_var._microsporus_GCA_002083745	2
Catenaria_anguillulae_PL171_GCA_002102555	0
Anaeromyces_robustus_GCA_002104895	0
Basidiobolus_meristosporus_CBS_931.73_GCA_002104905	2
Hesseltinella_vesiculosa_GCA_002104935	2
Piromyces_finnis_GCA_002104945	0
Neocallimastix_californiae_GCA_002104975	0
Rhizoclosmatium_globosum_GCA_002104985	1
Linderina_pennispora_GCA_002104995	1
Clohesyomyces_aquaticus_GCA_002105025	7
Pseudomassariella_vexata_GCA_002105095	7
Protomyces_lactucae-debilis_GCA_002105105	3
Syncephalastrum_racemosum_GCA_002105135	2
Lobosporangium_transversale_GCA_002105155	3
Hortaea_werneckii_EXF-2000_GCA_002127715	6
Piromyces_sp._E2_GCA_002157105	0
Monilinia_fructicola_GCA_002162545	7
Rhizophlyctis_rosea_GCA_002214945	1
Elaphomyces_granulatus_GCA_002240705	7
Bifiguratus_adelaidae_GCA_002261195	2
Knufia_petricola_GCA_002319055	7
Ramichloridium_luteum_GCA_002368545	7
Metschnikowia_cubensis_GCA_002374405	3
Emmonsia_crescens_GCA_002572855	7
Epichloe_elymi_GCA_002591845	7
Coemansia_reversa_NRRL_1564_GCA_002705745	1
Fragosphaeria_purpurea_GCA_002778095	8
Paramicrosporidium_saccamoebae_GCA_002794465	1
Coniochaeta_hoffmannii_GCA_002798055	7
Malassezia_vespertilionis_GCA_002818225	2
Hyaloscypha_hepaticicola_GCA_002865625	9
Tolypocladium_paradoxum_GCA_002916505	6
Cladonia_uncialis_GCA_002927785	8
Arthonia_radiata_GCA_002989075	6
Paramyrothecium_roridum_GCA_003012165	8
Elsinoe_australis_GCA_003013795	7
Corynespora_cassiicola_Philippines_GCA_003016335	7
Amorphotheca_resinae_ATCC_22711_GCA_003019875	8
Coniella_lustricola_GCA_003019895	6
Ophioceras_dolichostomum_GCA_003049485	8
Periconia_macrospinosa_GCA_003073855	7
Smittium_simulii_GCA_003086735	1
Trichophyton_mentagrophytes_GCA_003118255	7
Pseudomicrostroma_glucosiphilum_GCA_003144135	2
Evernia_prunastri_GCA_003184365	8
Cryphonectria_radicalis_GCA_003264845	6
Pseudopyrenochaeta_lycopersici_GCA_003313425	7
Corinectria_fuckeliana_GCA_003385255	7
Gigaspora_rosea_GCA_003550325	5
Aspergillus_spinulosporus_GCA_003574815	8
Erysiphe_neolycopersici_GCA_003610855	7
Piptocephalis_cylindrospora_GCA_003614145	0
Dimargaris_cristalligena_GCA_003614675	2
Blyttiomyces_helicus_GCA_003614705	2
Syncephalis_pseudoplumigaleata_GCA_003614755	0
Caulochytrium_protostelioides_GCA_003615045	0
Ophiognomonia_clavigignenti-juglandacearum_GCA_003671545	6
Sporopachydermia_lactativora_GCA_003705295	3
Priceomyces_medius_GCA_003705335	3
Kockiozyma_suomiensis_GCA_003705835	2
Ogataea_trehaloabstinens_GCA_003706095	3
Cephaloascus_albidus_GCA_003706495	3
Trigonopsis_vinaria_GCA_003706805	4
Zygoascus_ofunaensis_GCA_003707925	3
Ascobolus_immersus_RN42_GCA_003788565	7
Terfezia_boudieri_ATCC_MYA-4762_GCA_003788615	7
Morchella_conica_CCBAS932_GCA_003790465	7
Valsa_malicola_GCA_003795315	5
Oehlia_diaphana_GCA_003833135	4
Pseudophaeomoniella_oleicola_GCA_003868215	7
Proliferodiscus_dingleyae_GCA_003988795	9
Chlorencoelia_torta_GCA_003988815	8
