DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Yeast prion homologs
COLOR	#000000
DATA
Drosophila_melanogaster_GCA_000001215	31
Yarrowia_lipolytica_CLIB122_GCA_000002525	9
Monosiga_brevicollis_MX1_GCA_000002865	3
Schizosaccharomyces_pombe_GCA_000002945	9
Uncinocarpus_reesii_1704_GCA_000003515	9
Saccharomyces_cerevisiae_S288C_GCA_000146045	8
Parastagonospora_nodorum_SN15_GCA_000146915	11
Rhizopus_delemar_RA_99-880_GCA_000149305	12
Batrachochytrium_dendrobatidis_JEL423_GCA_000149865	5
Puccinia_graminis_f._sp._tritici_CRL_75-36-700-3_GCA_000149925	7
Allomyces_macrogynus_ATCC_38327_GCA_000151295	10
Capsaspora_owczarzaki_ATCC_30864_GCA_000151315	8
Tuber_melanosporum_GCA_000151645	7
Spizellomyces_punctatus_DAOM_BR117_GCA_000182565	9
Coprinopsis_cinerea_okayama7#130_GCA_000182895	10
Neurospora_crassa_OR74A_GCA_000182925	7
Batrachochytrium_dendrobatidis_JAM81_GCA_000203795	6
Orbilia_oligospora_ATCC_24927_GCA_000225545	8
Thermothielavioides_terrestris_NRRL_8126_GCA_000226115	10
Homolaphlyctis_polyrhiza_JEL_142_GCA_000235945	7
Cladosporium_sphaerospermum_UM_843_GCA_000261425	10
Wickerhamomyces_ciferrii_GCA_000313485	14
Ustilago_maydis_521_GCA_000328475	8
Baudoinia_panamericana_UAMH_10762_GCA_000338955	10
Eutypa_lata_UCREL1_GCA_000349385	18
Bipolaris_maydis_ATCC_48331_GCA_000354255	9
Cyphellophora_europaea_CBS_101466_GCA_000365145	16
Neofusicoccum_parvum_UCRNP2_GCA_000385595	10
Fonticula_alba_GCA_000388065	3
Phaeoacremonium_minimum_UCRPA7_GCA_000392275	11
Wallemia_ichthyophaga_EXF-994_GCA_000400465	8
Mucor_circinelloides_1006PhL_GCA_000401635	9
Pecoramyces_ruminantium_GCA_000412615	23
Pseudozyma_flocculosa_PF-1_GCA_000417875	7
Rozella_allomycis_CSF55_GCA_000442015	6
Gyalolechia_flavorubescens_KoLRI002931_GCA_000442125	7
Zygosaccharomyces_bailii_CLIB_213_GCA_000442885	7
Endocarpon_pusillum_Z07020_GCA_000464535	11
Hysterium_pulicare_CBS_123377_GCA_000467715	14
Helminthosporium_solani_B-AC-16A_GCA_000498615	12
Pestalotiopsis_fici_W106-1_GCA_000516985	18
Neurospora_sublineolata_FGSC_5508_GCA_000604185	4
Umbilicaria_muehlenbergii_GCA_000611775	11
Saksenaea_vasiformis_B4078_GCA_000697055	12
Umbelopsis_isabellina_B7317_GCA_000697415	14
Basidiobolus_heterosporus_B8920_GCA_000697455	9
Mixia_osmundae_IAM_14324_GCA_000708205	10
Aureobasidium_subglaciale_EXF-2481_GCA_000721755	10
Verticillium_tricorpus_MUCL_9792_GCA_000732205	9
Venturia_pyrina_ICMP_11032_GCA_000738655	9
Mitosporidium_daphniae_GCA_000760515	2
Scedosporium_aurantiacum_GCA_000812075	11
Lanzia_echinophila_GCA_000812885	17
Taphrina_wiesneri_JCM_22204_GCA_000836135	11
Verruconis_gallopava_GCA_000836295	10
Fonsecaea_multimorphosa_CBS_102226_GCA_000836435	19
Mucor_ambiguus_GCA_000950595	7
Clonostachys_rosea_GCA_000963775	20
Thielaviopsis_punctulata_GCA_000968615	6
Baeospora_myosura_GCA_001179705	13
Talaromyces_purpureogenus_GCA_001270325	14
Diaporthe_aspalathi_GCA_001447215	12
Trichoderma_gamsii_GCA_001481775	19
Knoxdaviesia_proteae_GCA_001510565	6
Graphilbum_fragrans_GCA_001513895	8
Reticulascus_tulasneorum_GCA_001557505	10
Colletotrichum_nymphaeae_SA-01_GCA_001563115	10
Microdochium_bolleyi_GCA_001566295	12
Conidiobolus_coronatus_NRRL_28638_GCA_001566745	16
Gonapodya_prolifera_JEL478_GCA_001574975	10
Beverwykella_pulmonaria_GCA_001599595	14
Phaeotremella_skinneri_GCA_001599695	11
Cystobasidiopsis_lactophilus_GCA_001599975	13
Erythrobasidium_yunnanense_GCA_001600175	10
Endocalyx_cinctus_GCA_001600455	19
Alloascoidea_hylecoeti_GCA_001600815	16
Phyllosticta_capitalensis_GCA_001604925	9
Xylona_heveae_TC161_GCA_001619985	10
Calocera_viscosa_TUFC12733_GCA_001630345	17
Ascosphaera_apis_ARSEF_7405_GCA_001636715	6
Cordyceps_fumosorosea_ARSEF_2679_GCA_001636725	10
Phycomyces_blakesleeanus_NRRL_1555_-__GCA_001638985	11
Paraphaeosphaeria_sporulosa_GCA_001642045	14
Linnemannia_elongata_AG-77_GCA_001651415	8
Leptoxyphium_fumago_GCA_001660795	10
Ascoidea_rubescens_DSM_1968_GCA_001661345	14
_Candida__arabinofermentans_NRRL_YB-2248_GCA_001661425	7
Pseudogymnoascus_verrucosus_GCA_001662655	16
Lepidopterella_palustris_CBS_459.81_GCA_001692735	14
Glonium_stellatum_GCA_001692915	12
Neolecta_irregularis_DAH-3_GCA_001929475	8
Ramalina_peruviana_GCA_001956345	10
Batrachochytrium_salamandrivorans_GCA_002006685	11
Ustulina_deusta_GCA_002081935	15
Rhizopus_microsporus_var._microsporus_GCA_002083745	11
Catenaria_anguillulae_PL171_GCA_002102555	5
Anaeromyces_robustus_GCA_002104895	8
Basidiobolus_meristosporus_CBS_931.73_GCA_002104905	17
Hesseltinella_vesiculosa_GCA_002104935	10
Piromyces_finnis_GCA_002104945	6
Neocallimastix_californiae_GCA_002104975	12
Rhizoclosmatium_globosum_GCA_002104985	9
Linderina_pennispora_GCA_002104995	4
Clohesyomyces_aquaticus_GCA_002105025	15
Pseudomassariella_vexata_GCA_002105095	11
Protomyces_lactucae-debilis_GCA_002105105	9
Syncephalastrum_racemosum_GCA_002105135	9
Lobosporangium_transversale_GCA_002105155	6
Hortaea_werneckii_EXF-2000_GCA_002127715	20
Piromyces_sp._E2_GCA_002157105	6
Monilinia_fructicola_GCA_002162545	11
Rhizophlyctis_rosea_GCA_002214945	9
Elaphomyces_granulatus_GCA_002240705	9
Bifiguratus_adelaidae_GCA_002261195	8
Knufia_petricola_GCA_002319055	8
Ramichloridium_luteum_GCA_002368545	13
Metschnikowia_cubensis_GCA_002374405	7
Emmonsia_crescens_GCA_002572855	7
Epichloe_elymi_GCA_002591845	7
Coemansia_reversa_NRRL_1564_GCA_002705745	5
Fragosphaeria_purpurea_GCA_002778095	11
Paramicrosporidium_saccamoebae_GCA_002794465	3
Coniochaeta_hoffmannii_GCA_002798055	9
Malassezia_vespertilionis_GCA_002818225	6
Hyaloscypha_hepaticicola_GCA_002865625	15
Tolypocladium_paradoxum_GCA_002916505	9
Cladonia_uncialis_GCA_002927785	10
Arthonia_radiata_GCA_002989075	10
Paramyrothecium_roridum_GCA_003012165	14
Elsinoe_australis_GCA_003013795	15
Corynespora_cassiicola_Philippines_GCA_003016335	19
Amorphotheca_resinae_ATCC_22711_GCA_003019875	7
Coniella_lustricola_GCA_003019895	8
Ophioceras_dolichostomum_GCA_003049485	9
Periconia_macrospinosa_GCA_003073855	18
Smittium_simulii_GCA_003086735	5
Trichophyton_mentagrophytes_GCA_003118255	11
Pseudomicrostroma_glucosiphilum_GCA_003144135	8
Evernia_prunastri_GCA_003184365	14
Cryphonectria_radicalis_GCA_003264845	14
Pseudopyrenochaeta_lycopersici_GCA_003313425	18
Corinectria_fuckeliana_GCA_003385255	8
Gigaspora_rosea_GCA_003550325	20
Aspergillus_spinulosporus_GCA_003574815	9
Erysiphe_neolycopersici_GCA_003610855	6
Piptocephalis_cylindrospora_GCA_003614145	2
Dimargaris_cristalligena_GCA_003614675	7
Blyttiomyces_helicus_GCA_003614705	15
Syncephalis_pseudoplumigaleata_GCA_003614755	4
Caulochytrium_protostelioides_GCA_003615045	6
Ophiognomonia_clavigignenti-juglandacearum_GCA_003671545	13
Sporopachydermia_lactativora_GCA_003705295	8
Priceomyces_medius_GCA_003705335	10
Kockiozyma_suomiensis_GCA_003705835	7
Ogataea_trehaloabstinens_GCA_003706095	8
Cephaloascus_albidus_GCA_003706495	6
Trigonopsis_vinaria_GCA_003706805	6
Zygoascus_ofunaensis_GCA_003707925	9
Ascobolus_immersus_RN42_GCA_003788565	10
Terfezia_boudieri_ATCC_MYA-4762_GCA_003788615	8
Morchella_conica_CCBAS932_GCA_003790465	12
Valsa_malicola_GCA_003795315	11
Oehlia_diaphana_GCA_003833135	35
Pseudophaeomoniella_oleicola_GCA_003868215	12
Proliferodiscus_dingleyae_GCA_003988795	16
Chlorencoelia_torta_GCA_003988815	12
