Assembly_ID	Assembly_Name	BGC_Count	BGC_Sum	Genome_Size	BGC_Genome_Prop	Terpene_Prop	Metallophore_Prop	NRPS_Prop	PKS_Prop
GCA_027600675	Phlyctochytrium_planicorne_GCA_027600675	5	177364	30009547	0.005910252493981332	0.6	0.0	0.4	0.0
GCA_000392275	Phaeoacremonium_minimum_UCRPA7_GCA_000392275	26	1469578	47302611	0.031067587368485854	0.11538461538461539	0.0	0.23076923076923078	0.34615384615384615
GCA_003016335	Corynespora_cassiicola_Philippines_GCA_003016335	66	4436637	44703665	0.09924548691924924	0.13636363636363635	0.015151515151515152	0.2878787878787879	0.45454545454545453
GCA_025602915	Paraphysoderma_sedebokerense_GCA_025602915	5	174597	27876074	0.006263328186027917	0.6	0.2	0.2	0.0
GCA_001600175	Erythrobasidium_yunnanense_GCA_001600175	5	217595	20870985	0.010425717808718659	0.6	0.0	0.4	0.0
GCA_025201725	Chytriomyces_sp._MP71_GCA_025201725	7	207790	36029559	0.0057672090851847505	0.5714285714285714	0.0	0.2857142857142857	0.0
GCA_003086735	Smittium_simulii_GCA_003086735	4	88475	40310083	0.002194860278506497	0.5	0.25	0.25	0.0
GCA_000836135	Taphrina_wiesneri_JCM_22204_GCA_000836135	9	450313	13010491	0.03461153003372432	0.4444444444444444	0.0	0.5555555555555556	0.0
GCA_025765595	Obelidium_mucronatum_GCA_025765595	9	512070	49458483	0.010353532274736368	0.3333333333333333	0.0	0.6666666666666666	0.1111111111111111
GCA_025602895	Polychytrium_aggregatum_GCA_025602895	64	4288817	64917104	0.06606605556526367	0.046875	0.0	0.90625	0.0
GCA_002162545	Monilinia_fructicola_GCA_002162545	44	3179834	43338467	0.07337209228005227	0.06818181818181818	0.022727272727272728	0.36363636363636365	0.4090909090909091
GCA_000328475	Ustilago_maydis_521_GCA_000328475	13	715389	19641656	0.03642203081043676	0.15384615384615385	0.0	0.7692307692307693	0.07692307692307693
GCA_003988945	Chaetoscypha_palmicola_GCA_003988945	45	1929239	40661501	0.04744633012932799	0.1111111111111111	0.022222222222222223	0.26666666666666666	0.4444444444444444
GCA_001574975	Gonapodya_prolifera_JEL478_GCA_001574975	5	196268	48187626	0.0040729958350718505	0.6	0.0	0.2	0.0
GCA_002368545	Ramichloridium_luteum_GCA_002368545	34	2207740	28121942	0.07850595808781627	0.17647058823529413	0.0	0.38235294117647056	0.3235294117647059
GCA_000760515	Mitosporidium_daphniae_GCA_000760515	0	0	5473455	0.0	0.0	0.0	0.0	0.0
GCA_003385255	Corinectria_fuckeliana_GCA_003385255	42	2142944	38830354	0.055187341325809186	0.11904761904761904	0.023809523809523808	0.5476190476190477	0.40476190476190477
GCA_001619985	Xylona_heveae_TC161_GCA_001619985	27	1622670	24318220	0.06672651205556986	0.18518518518518517	0.037037037037037035	0.4074074074074074	0.37037037037037035
GCA_000354255	Bipolaris_maydis_ATCC_48331_GCA_000354255	65	3835495	32084566	0.11954330315703819	0.15384615384615385	0.015384615384615385	0.2923076923076923	0.35384615384615387
GCA_002572855	Emmonsia_crescens_GCA_002572855	17	1097976	33739611	0.03254263956985159	0.17647058823529413	0.058823529411764705	0.5294117647058824	0.058823529411764705
GCA_002105135	Syncephalastrum_racemosum_GCA_002105135	13	539213	30744882	0.017538301171557594	0.46153846153846156	0.15384615384615385	0.38461538461538464	0.0
GCA_001692915	Glonium_stellatum_GCA_001692915	56	1768264	40170011	0.04401950499839295	0.125	0.017857142857142856	0.30357142857142855	0.35714285714285715
GCA_026937265	Coelomomyces_lativittatus_GCA_026937265	3	13589	21474829	0.0006327873437315845	0.6666666666666666	0.3333333333333333	0.0	0.0
GCA_001600815	Alloascoidea_hylecoeti_GCA_001600815	6	275433	24423196	0.011277516668989594	0.16666666666666666	0.0	0.8333333333333334	0.0
