Assembly_ID	Assembly_Name	BGC_Count	Genome_Size	BGC_Genome_Prop	Metallophore_Genome_Prop	NRPS_Genome_Prop	PKS_Genome_Prop
GCA_027600675	Phlyctochytrium_planicorne_GCA_027600675	5	30009547	0.005910252493981332	0.0	0.0032870206271357577	0.0
GCA_000392275	Phaeoacremonium_minimum_UCRPA7_GCA_000392275	26	47382814	0.031015000502080777	0.0	0.00950975600562685	0.011030708307024567
GCA_003016335	Corynespora_cassiicola_Philippines_GCA_003016335	66	44846156	0.09893015133783149	0.0019007203203770687	0.03067388874979608	0.044960219109972326
GCA_025602915	Paraphysoderma_sedebokerense_GCA_025602915	5	27876074	0.006263328186027917	0.0005429387222892292	0.002863100449510932	0.0
GCA_001600175	Erythrobasidium_yunnanense_GCA_001600175	5	20930538	0.010396053842476482	0.0	0.005972230623025552	0.0
GCA_025201725	Chytriomyces_sp._MP71_GCA_025201725	7	36383760	0.005711064496907411	0.0	0.001191053371064453	0.0
GCA_003086735	Smittium_simulii_GCA_003086735	4	43895903	0.0020155639582126834	0.00024330288865455165	0.0010251526207354705	0.0
GCA_000836135	Taphrina_wiesneri_JCM_22204_GCA_000836135	9	13060076	0.03448012094263464	0.0	0.024970758209982853	0.0
GCA_025765595	Obelidium_mucronatum_GCA_025765595	9	49458483	0.010353532274736368	0.0	0.008432729325725578	0.001421131335548646
GCA_025602895	Polychytrium_aggregatum_GCA_025602895	64	64917104	0.06606605556526367	0.0	0.062099504623619683	0.0
GCA_002162545	Monilinia_fructicola_GCA_002162545	44	44448065	0.07154043713713971	0.0018508117282495875	0.02547825197789825	0.029046506298980618
GCA_000328475	Ustilago_maydis_521_GCA_000328475	13	19664356	0.03637998620448084	0.0	0.02977819360064474	0.00335775043942451
GCA_003988945	Chaetoscypha_palmicola_GCA_003988945	45	40691658	0.04741116717337986	0.0020538853442639273	0.01588792474369071	0.025559391067328838
GCA_001574975	Gonapodya_prolifera_JEL478_GCA_001574975	5	48794828	0.004022311544985874	0.0	0.001337272876543391	0.0
GCA_002368545	Ramichloridium_luteum_GCA_002368545	34	28127581	0.0784902192620119	0.0	0.03629298943268531	0.028298060896171626
GCA_003385255	Corinectria_fuckeliana_GCA_003385255	42	38870132	0.055130865004523265	0.0010623066574613124	0.03196626654110668	0.027289745247070424
GCA_001619985	Xylona_heveae_TC161_GCA_001619985	27	24337763	0.0666729312796743	0.0035830326723125705	0.030345845672011845	0.026792971893102913
GCA_000354255	Bipolaris_maydis_ATCC_48331_GCA_000354255	65	32924323	0.11649427081613796	0.002605642035524922	0.03864550229324381	0.04822856949860442
GCA_002572855	Emmonsia_crescens_GCA_002572855	17	33754519	0.032528266807771725	0.0024231422168984247	0.019592309995589034	0.0032964475067767964
GCA_002105135	Syncephalastrum_racemosum_GCA_002105135	13	30744882	0.017538301171557594	0.0011156003135741421	0.01198973539726059	0.0
GCA_001692915	Glonium_stellatum_GCA_001692915	56	40371131	0.043800209610179115	0.0014093734455940805	0.016313513733365557	0.017025160875478073
