gca	name	taxonomy	annotation_method	version_info	N50	fasta_file	gff_file
GCA_025765595	Obelidium_GCA_025765595.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota incertae sedis;Chytridiomycetes;Chytridiales;Chytriomycetaceae;Obelidium;Obelidium mucronatum	NCBI GenBank	GCA_025765595.1	189008	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_025765595.1_Obemuc1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_025765595.1_Obemuc1_genomic.gff
GCA_000151295	Allomyces_GCA_000151295.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Blastocladiaceae;Allomyces;Allomyces macrogynus;Allomyces macrogynus ATCC 38327	funannotate	GCA_000151295.1	1103875	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_000151295/GCA_000151295.cleaned.sorted.masked.fa	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_000151295/gene_prediction_results/predict_results/GCA_000151295.gff3
GCA_003705835	Kockiozyma_GCA_003705835.2	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Saccharomycetes;Saccharomycetales;Lipomycetaceae;Kockiozyma;Kockiozyma suomiensis	funannotate	GCA_003705835.2	473546	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_003705835/GCA_003705835.cleaned.sorted.masked.fa	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_003705835/gene_prediction_results/predict_results/GCA_003705835.gff3
GCA_000812075	Scedosporium_GCA_000812075.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Microascales;Microascaceae;Scedosporium;Scedosporium aurantiacum	funannotate	GCA_000812075.1	77574	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_000812075/GCA_000812075.cleaned.sorted.masked.fa	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_000812075/gene_prediction_results/predict_results/GCA_000812075.gff3
GCA_027597005	Phlyctochytrium_GCA_027597005.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota incertae sedis;Chytridiomycetes;Chytridiales;Chytridiaceae;Phlyctochytrium;Phlyctochytrium bullatum	NCBI GenBank	GCA_027597005.1	33519	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_027597005.1_ASM2759700v1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_027597005.1_ASM2759700v1_genomic.gff
GCA_027604105	Chytriomyces_GCA_027604105.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota incertae sedis;Chytridiomycetes;Chytridiales;Chytriomycetaceae;Chytriomyces;Chytriomyces hyalinus	NCBI GenBank	GCA_027604105.1	52956	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_027604105.1_ASM2760410v1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_027604105.1_ASM2760410v1_genomic.gff
GCA_900465125	Plenodomus_GCA_900465125.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Pleosporomycetidae;Pleosporales;Pleosporineae;Leptosphaeriaceae;Plenodomus;Plenodomus lingam/Leptosphaeria maculans species complex;Plenodomus biglobosus;Plenodomus biglobosus/Leptosphaeria biglobosa 'brassicae' group	funannotate	GCA_900465125.1	462395	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_900465125/GCA_900465125.cleaned.sorted.masked.fa	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_900465125/gene_prediction_results/predict_results/GCA_900465125.gff3
GCA_900618795	Cyanodermella_GCA_900618795.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Lecanoromycetes;OSLEUM clade;Ostropomycetidae;Ostropales;Stictidaceae;Cyanodermella;Cyanodermella asteris	funannotate	GCA_900618795.1	1764233	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_900618795/GCA_900618795.cleaned.sorted.masked.fa	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_900618795/gene_prediction_results/predict_results/GCA_900618795.gff3
GCA_004216415	Aeminium_GCA_004216415.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Dothideomycetidae;Mycosphaerellales;Aeminiaceae;Aeminium;Aeminium ludgeri	funannotate	GCA_004216415.1	181365	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_004216415/GCA_004216415.cleaned.sorted.masked.fa	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_004216415/gene_prediction_results/predict_results/GCA_004216415.gff3
GCA_002105155	Lobosporangium_GCF_002105155.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mortierellomycotina;Mortierellomycetes;Mortierellales;Mortierellaceae;Lobosporangium;Lobosporangium transversale	NCBI RefSeq	GCF_002105155.1	672590	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_Fastas_in_NCBI_RefSeq/GCF_002105155.1_Lobtra1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI_RefSeq/GCF_002105155.1_Lobtra1_genomic.gff
GCA_900120095	Microbotryum_GCA_900120095.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Microbotryales;Microbotryaceae;Microbotryum;Microbotryum silenes-dioicae	NCBI GenBank	GCA_900120095.1	936137	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_900120095.1_MsdSdi1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_900120095.1_MsdSdi1_genomic.gff
GCA_002157105	Piromyces_GCA_002157105.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota incertae sedis;Neocallimastigomycetes;Neocallimastigales;Neocallimastigaceae;Piromyces;unclassified Piromyces;Piromyces sp. E2	NCBI GenBank	GCA_002157105.1	82570	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_002157105.1_PirspE2_v1.0_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_002157105.1_PirspE2_v1.0_genomic.gff
