Assembly_ID	Assembly_Name	BGC_Count	Complete_BGC_Count	BGC_Sum	Genome_Size	BGC_Genome_Prop	Terpene_Prop	Metallophore_Prop	NRPS_Prop	PKS_Prop	NRPS_or_PKS	Complete_NRPS_or_PKS	NRPS_or_PKS_Sum	NRPS_or_PKS_Sum_Strict
GCA_027600675	Phlyctochytrium_GCA_027600675.1	5	0	177364	30009547	0.005910252493981332	0.6	0.0	0.4	0.0	2	0	98642	44514
GCA_000392275	Phaeoacremonium_GCF_000392275.1	26	19	1469578	47302611	0.031067587368485854	0.11538461538461539	0.0	0.23076923076923078	0.34615384615384615	14	11	900611	649291
GCA_003016335	Corynespora_GCA_003016335.1	66	56	4436637	44703665	0.09924548691924924	0.13636363636363635	0.015151515151515152	0.2878787878787879	0.45454545454545453	45	37	3053262	2508726
GCA_025602915	Paraphysoderma_GCA_025602915.1	5	4	174597	27876074	0.006263328186027917	0.6	0.2	0.2	0.0	1	1	64677	0
GCA_001600175	Erythrobasidium_GCA_001600175.1	5	5	217595	20870985	0.010425717808718659	0.6	0.0	0.4	0.0	2	2	125002	0
GCA_025201725	Chytriomyces_GCA_025201725.1	7	1	207790	36029559	0.0057672090851847505	0.5714285714285714	0.0	0.2857142857142857	0.0	2	0	43335	0
GCA_003086735	Smittium_GCA_003086735.1	4	0	88475	40310083	0.002194860278506497	0.5	0.25	0.25	0.0	1	0	34320	0
GCA_000836135	Taphrina_GCA_000836135.1	9	9	450313	13010491	0.03461153003372432	0.4444444444444444	0.0	0.5555555555555556	0.0	5	5	326120	75543
GCA_025765595	Obelidium_GCA_025765595.1	9	7	512070	49458483	0.010353532274736368	0.3333333333333333	0.0	0.6666666666666666	0.1111111111111111	6	4	417070	288691
GCA_025602895	Polychytrium_GCF_025602895.1	64	61	4288817	64917104	0.06606605556526367	0.046875	0.0	0.90625	0.0	58	56	4031320	245708
GCA_002162545	Monilinia_GCA_002162545.1	44	41	3179834	43338467	0.07337209228005227	0.06818181818181818	0.022727272727272728	0.36363636363636365	0.4090909090909091	33	30	2351166	1930214
GCA_000328475	Ustilago_GCF_000328475.2	13	9	715389	19641656	0.03642203081043676	0.15384615384615385	0.0	0.7692307692307693	0.07692307692307693	11	7	651597	248757
GCA_003988945	Chaetoscypha_GCA_003988945.1	45	7	1929239	40661501	0.04744633012932799	0.1111111111111111	0.022222222222222223	0.26666666666666666	0.4444444444444444	27	6	1341464	1237315
