Assembly_ID	Order	Genus	BGC_Count	BGCome_Size	Genome_Size	BGC_Genome_Prop	Metallophore_Size	NRPS_Size	PKS_Size	NRPS_or_PKS_Size
GCA_000196255.1	Enterobacterales_A	Photobacterium	7	317331	6403280	0.04955757049512125	118453	158874	61773	158874
GCA_019056575.1	Cyanobacteriales	FACHB-800	15	558093	5729487	0.0974071500642204	80158	163073	177422	260337
GCA_017516745.1	Oscillospirales	UBA8612	4	84146	2886497	0.029151597940340834	0	0	0	0
GCA_003543215.1	Erysipelotrichales	UBA2212	0	0	1177939	0.0	0	0	0	0
GCA_002843565.1	Mycoplasmatales	Tullyiplasma	0	0	908214	0.0	0	0	0	0
GCA_001680825.1	Acetobacterales	Gluconobacter_A	5	117976	3606417	0.03271280054414118	0	0	46339	46339
GCA_900660485.1	Mycoplasmatales	Mesomycoplasma_A	0	0	1040908	0.0	0	0	0	0
GCA_900102235.1	Lachnospirales	XBB2008	1	20560	3521027	0.005839205436368423	0	0	0	0
GCA_015056735.1	Lachnospirales	VSOB01	3	91918	2725344	0.03372711848485916	0	91918	0	91918
GCA_014656415.1	Rhodobacterales	Seohaeicola	4	74187	5504092	0.013478517437571901	0	10699	0	10699
GCA_004103715.1	Tissierellales	PP17-6a	7	169855	3743723	0.04537061102009951	0	44473	0	44473
GCA_003400305.1	Rhizobiales	4M-Z18	5	171741	5003122	0.034326766367080395	0	49470	49470	49470
GCA_019923565.1	Enterobacterales	Schneideria	0	0	572184	0.0	0	0	0	0
GCA_001803165.1	Ignavibacteriales	XYB12-FULL-38-5	2	32311	4405326	0.007334530974552167	0	0	0	0
GCA_902506655.1	Cytophagales	Marinoscillum	2	60139	5210585	0.011541698292993972	0	0	39302	39302
GCA_003075035.1	Enterobacterales_A	Zobellella_A	4	79669	3929165	0.020276318250824283	14596	42910	0	42910
GCA_003590775.1	Sphingomonadales	Sphingobium_A	4	113346	4244097	0.026706741151297907	0	0	41083	41083
GCA_000015125.1	Chlorobiales	Chlorobium	5	140929	3133902	0.04496917899793931	0	46456	41254	87710
GCA_017161365.1	Streptosporangiales	Thermobispora	5	121197	4386836	0.02762742897158681	23501	0	41053	41053
GCA_021535045.1	Actinomycetales	Ornithinimicrobium_A	0	0	2805475	0.0	0	0	0	0
GCA_910587045.1	Lachnospirales	CAG-632	6	146091	2758769	0.05295514049925891	0	42964	0	42964
GCA_905171695.1	Methanosarcinales	EX4572-44	1	42519	1922745	0.022113696824071834	0	0	0	0
GCA_011440395.1	Pseudomonadales	Pseudomaricurvus	3	126517	5427463	0.023310522798589323	0	50795	98286	98286
GCA_022842495.1	Burkholderiales	Ga0074130	3	67812	2354061	0.028806390318687577	0	0	0	0
GCA_003550175.1	Rhizobiales	Dichotomicrobium	5	155738	2988045	0.05212036632647768	0	42622	42197	84819
GCA_017134815.1	Victivallales	Zth2	2	83531	3198720	0.02611388305322129	0	42310	0	42310
GCA_000198515.1	Pseudomonadales	HdN1	6	323944	4587455	0.07061518859585543	0	269912	118919	269912
GCA_002074155.1	Clostridiales	Clostridium_J	8	193735	4803058	0.04033576109220417	22096	54228	0	54228
GCA_003935895.2	Enterobacterales	Scandinavium	4	135228	4713964	0.028686684921649806	54704	54704	0	54704
GCA_014270035.1	Enterobacterales_A	Neptunicella	2	41548	4137666	0.010041409818965572	0	0	0	0
GCA_025055395.1	Cyanobacteriales	DVEF01	3	62789	2853488	0.022004297897870957	0	0	0	0
GCA_020809405.1	Peptostreptococcales	Terrisporobacter	4	85584	4116837	0.020788775460383786	0	0	0	0
GCA_002119685.1	Burkholderiales	Bordetella_C	8	299511	6167536	0.048562505350597064	87699	130411	0	130411
GCA_934679985.1	Oscillospirales	UMGS1491	1	21598	1117181	0.019332588004987553	0	0	0	0
GCA_020541205.1	Enterobacterales	Hartigia	0	0	2034350	0.0	0	0	0	0
GCA_000007485.1	Actinomycetales	Tropheryma	0	0	927303	0.0	0	0	0	0
GCA_900104675.1	Oscillospirales	Angelakisella	2	53249	4041781	0.013174637616436913	0	0	0	0
GCA_024362325.1	Actinomycetales	Chryseoglobus	3	88166	2653678	0.03322407616900016	0	0	41065	41065
GCA_903645315.1	Victivallales	UMGS1518	1	20258	4821619	0.0042014933158343705	0	0	0	0
GCA_015061005.1	Bacteroidales	UBA3263	0	0	2118125	0.0	0	0	0	0
GCA_018262855.1	Methanomicrobiales	Methanolinea_A	5	127596	2291048	0.05569328970846529	0	0	0	0
GCA_002950575.1	Actinomycetales	Pontimonas	2	61959	1760810	0.03518778289537201	0	0	41050	41050
GCA_011300875.1	Actinomycetales	Flavimobilis	1	20927	3351553	0.0062439710784821245	0	0	0	0
GCA_018986735.1	Actinomycetales	Pauljensenia	1	12124	2563835	0.0047288534558581185	0	0	0	0
GCA_023169965.1	Myxococcales	JAJXVM01	6	181069	4590331	0.03944573931596654	0	44749	41077	85826
GCA_002266285.1	Bacillales_D	Virgibacillus_G	5	129980	3894969	0.03337125404592437	0	0	81379	81379
GCA_000300875.1	Flavobacteriales	Galbibacter_B	2	49227	3565070	0.013808144019612518	0	0	0	0
GCA_018918145.1	Lachnospirales	Metalachnospira	1	18087	2292124	0.007890934347356425	0	0	0	0
GCA_009914665.1	Flavobacteriales	Bergeyella_A	0	0	2036890	0.0	0	0	0	0
GCA_002704615.1	Pseudomonadales	UBA7434	2	62228	1920432	0.03240312596332492	0	0	40189	40189
GCA_001559055.2	Burkholderiales	Bordetella	9	247923	5339230	0.0464342236614643	11857	0	47584	47584
GCA_004959855.1	Rhizobiales	SPNT01	9	195072	6190193	0.03151307237108762	0	0	0	0
GCA_009831105.1	Erysipelotrichales	Copranaerobaculum	1	13517	2298788	0.0058800550550986	0	0	0	0
GCA_015767595.1	Sphingomonadales	Qipengyuania	2	62173	3525806	0.017633698507518565	0	0	0	0
GCA_013693755.1	Burkholderiales	Tibeticola	2	45699	3282734	0.013921018273183268	0	0	0	0
GCA_017482355.1	Oscillospirales	CAG-272	3	62268	1691564	0.036810903991808766	0	0	0	0
GCA_006716425.1	Streptosporangiales	Actinoallomurus	16	564740	9466640	0.059655801847329146	13191	244467	270717	320147
GCA_910574345.1	Lachnospirales	UBA3402	7	187134	5590871	0.03347134999179913	0	0	0	0
GCA_000818095.1	Bacillales	Jeotgalibacillus	2	44629	4119509	0.010833572641788136	0	0	0	0
GCA_022841725.1	Chlamydiales	Ga0074140	3	102217	1769810	0.05775591730185726	0	0	41104	41104
GCA_000972245.3	Bacillales	Bacillus_I	10	314361	5313985	0.05915729908910168	51635	120272	109726	161361
GCA_000192745.1	Rhizobiales	Polymorphum	12	251455	4718963	0.053286071537327166	0	0	47602	47602
GCA_004217445.1	Pseudomonadales	Fluviicoccus	3	66474	3682372	0.018051951296609903	0	0	0	0
GCA_934502875.1	Oscillospirales	CAKVOU01	2	51921	2295075	0.02262279010489853	0	0	0	0
GCA_009650095.1	Bacillales_D	Gracilibacillus	2	26279	5088110	0.005164786138664455	15892	0	0	0
GCA_002425765.1	Treponematales	Rectinema	0	0	2396298	0.0	0	0	0	0
GCA_015354735.1	Cytophagales	Pararhodonellum	7	158547	5362228	0.02956737386026853	0	0	41080	41080
GCA_900538275.1	Lachnospirales	Petrocella	3	70009	3518882	0.019895239453894733	0	0	0	0
GCA_900070325.1	Lachnospirales	Mobilitalea	1	21146	2609352	0.008103927718452704	0	0	0	0
GCA_000153165.2	Flavobacteriales	Maribacter_A	1	20837	3868304	0.005386598364554595	0	0	0	0
GCA_017656265.1	Bacillales_D	Melghiribacillus	3	82563	3235015	0.025521674551740873	0	0	41095	41095
GCA_000378385.1	Paenibacillales	Paenibacillus_D	15	466561	7464058	0.06250768683737452	13737	198807	121760	239974
GCA_017642935.1	Rhizobiales	MH13	2	39617	3735834	0.010604593244774795	0	0	0	0
GCA_016285515.1	Bacteroidales	RGIG7150	3	108082	2583702	0.04183222368523924	0	0	0	0
GCA_003143755.1	Flavobacteriales	Algibacter_B	2	72527	3339369	0.021718773816250914	0	51687	0	51687
GCA_022845775.1	Peptostreptococcales	Emergencia	2	42214	4364341	0.009672479762694986	0	0	0	0
GCA_907163125.1	Flavobacteriales	Cloacibacterium	2	33009	2979886	0.011077269398896469	0	0	0	0
GCA_002215425.1	Mycoplasmatales	Malacoplasma_A	0	0	629409	0.0	0	0	0	0
GCA_016653175.1	Rhizobiales	Afifella	4	99136	3961181	0.02502687960989412	48440	48440	0	48440
GCA_025148445.1	Lachnospirales	Butyrivibrio_A	4	85800	2521323	0.034029753427069834	0	0	0	0
GCA_934873185.1	Oscillospirales	CAG-170	0	0	2925503	0.0	0	0	0	0
GCA_000152745.1	Caulobacterales	Oceanicaulis	1	20846	3172051	0.0065717732785506916	0	0	0	0
GCA_019218285.1	Rhodobacterales	DP3N28-2	5	131466	5119897	0.02567746968347215	0	51989	51989	51989
GCA_002514735.1	Flavobacteriales	Sediminicola_A	1	20840	4566018	0.004564151959103096	0	0	0	0
