order	median_genome_size	median_bgcome_size	median_bgc_count	median_bgcome_size_relaxed	median_bgc_count_relaxed	median_npbgcome_size	median_nrps_count	median_pks_count	median_oxy_count	median_distinct_cazy_count	median_total_cazy_count
Methanosarcinales	2490632.0	38856.0	1.0	40509.5	1.5	0.0	0.0	0.0	17.0	31.0	35.5
Halobacteriales	3910332.5	54851.5	3.0	69599.5	4.0	0.0	0.0	0.0	26.0	54.5	46.0
Methanomicrobiales	2662345	37231.0	1	48410.0	3.0	0.0	0.0	0.0	13.0	11.0	24.0
Methanomassiliicoccales	1860555.5	21834.5	1.0	25196.5	1.0	0.0	0.0	0.0	13.0	9.0	14.5
Thermoplasmatales	1726377	0.0	0	0.0	0.0	0.0	0.0	0.0	16.0	57.0	27.0
Methanobacteriales	2349247	60002.0	2	88752.0	3.0	0.0	0.0	0.0	13.0	17.0	38.0
Sulfolobales	1667163	0.0	0	11071.0	1.0	0.0	0.0	0.0	9.0	33.0	26.0
Micrarchaeales	852337	0.0	0	0.0	0.0	0.0	0.0	0.0	9.0	7.0	14.0
Caulobacterales	3412615.0	66477.5	3.0	68319.0	3.0	0.0	0.0	0.0	47.0	87.0	64.5
Rhizobiales	4632210.0	127185.0	5.0	137333.5	5.0	35944.5	0.0	0.0	51.0	87.0	82.0
Rhodobacterales	4066668.0	114379.5	5.0	123443.5	5.0	43981.0	38209.0	41048.5	49.0	74.0	69.0
Sphingomonadales	3284759.5	87821.5	3.0	92933.5	3.0	41048.5	0.0	41045.5	49.0	69.0	56.0
Rhodospirillales_A	3795985	86498.0	4	112896.0	4.0	0.0	0.0	0.0	52.0	40.0	63.0
Acetobacterales	3661230.5	120074.0	4.0	128890.0	5.0	36871.0	0.0	29382.0	47.0	72.5	82.0
Rs-D84	874588	20795.0	1	20795.0	1.0	0.0	0.0	0.0	1.0	13.0	21.0
Rickettsiales	1524382.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.5	15.5	16.5
HIMB59	1506059	0.0	0	0.0	0.0	0.0	0.0	0.0	35.0	28.0	32.0
Pelagibacterales	1151222.5	21906.0	1.0	21906.0	1.0	0.0	0.0	0.0	37.0	23.0	26.0
Burkholderiales	3942086	110630.0	4	118918.0	4.0	0.0	0.0	0.0	44.0	54.0	60.0
PS1	1527313.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	16.0	30.5
Methylococcales	4558902	191347.0	6	193674.0	6.0	109868.0	75522.0	0.0	30.0	85.0	89.0
Xanthomonadales	3854931.0	90144.0	2.5	98274.0	3.0	0.0	0.0	0.0	45.0	94.0	77.0
Legionellales	2693432	176178.0	5	191869.0	5.0	111201.0	101215.0	66904.0	41.0	33.0	40.0
Enterobacterales_A	3929165	46432.0	2	61883.0	2.0	0.0	0.0	0.0	30.0	88.0	62.0
Enterobacterales	4317505	115471.0	3	123682.0	4.0	43867.0	43867.0	0.0	39.0	89.0	78.0
Pseudomonadales	4127484.5	92991.0	3.0	107173.0	4.0	0.0	0.0	0.0	32.0	57.5	56.0
Francisellales	2298556	122418.0	4	133494.0	4.0	45264.0	45264.0	0.0	32.0	49.0	39.0
Campylobacterales	2187002	20570.0	1	21883.0	1.0	0.0	0.0	0.0	30.0	20.0	30.0
Desulfovibrionales	3720107	87498.0	2	112208.0	3.0	0.0	0.0	0.0	21.0	51.0	66.0
Desulfobacterales	5157696	198488.0	5	222720.0	7.0	72022.0	0.0	51757.0	19.0	54.0	77.0
Myxococcales	6987298	257780.0	8	327001.0	11.0	158134.0	83811.0	95865.0	33.0	106.0	131.0
Nitrospirales	3656130.0	120818.5	5.5	164300.0	7.0	0.0	0.0	0.0	30.0	50.5	71.5
Verrucomicrobiales	5321988	133668.0	4	147962.0	5.0	41026.0	0.0	41026.0	31.0	123.0	171.0
Victivallales	3533848	41227.0	1	79035.0	2.0	0.0	0.0	0.0	6.0	117.0	159.0
Chlamydiales	1824478	41107.0	1	74552.0	2.0	41083.0	0.0	41035.0	13.0	46.0	37.0
Leptospirales	4569184.5	23313.5	1.0	36164.5	2.0	0.0	0.0	0.0	30.0	86.0	78.5
Borreliales	1407357.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	12.0	14.5
Treponematales	3093697	29668.0	1	41816.0	2.0	0.0	0.0	0.0	10.0	97.0	64.0
Balneolales	3747171	91795.0	4	94756.0	4.0	33645.0	0.0	33645.0	33.0	114.0	89.0
Flavobacteriales	3340619.0	61953.0	2.0	62019.0	2.0	0.0	0.0	0.0	21.0	99.5	81.0
