assembly_id	taxid	num_SCG_hits	uniq_SCG_hits	perc_comp	perc_redund	num_SCG_hits_after_len_filt	in_final_tree
GCA_000006605.1_ASM660v1	NA	73	72	98.65	1.35	63	Yes
GCA_000007485.1_ASM748v1	NA	72	72	97.30	0.00	62	Yes
GCA_000007665.1_ASM766v1	NA	74	74	100.00	0.00	68	Yes
GCA_000007725.1_ASM772v1	NA	66	65	89.19	1.35	64	Yes
GCA_000007925.1_ASM792v1	NA	73	72	98.65	1.35	61	Yes
GCA_000008385.1_ASM838v1	NA	66	66	89.19	0.00	58	Yes
GCA_000009145.1_ASM914v1	NA	72	71	97.30	1.35	64	Yes
GCA_000009165.1_ASM916v1	NA	74	74	100.00	0.00	70	Yes
GCA_000009365.1_ASM936v1	NA	74	72	100.00	2.70	69	Yes
GCA_000009625.1_ASM962v1	NA	73	72	98.65	1.35	60	Yes
GCA_000009705.1_ASM970v1	NA	72	68	97.30	6.76	65	Yes
GCA_000009765.2_ASM976v2	NA	73	68	98.65	9.46	61	Yes
GCA_000009825.1_ASM982v1	NA	74	73	100.00	1.35	70	Yes
GCA_000010045.1_ASM1004v1	NA	72	71	97.30	1.35	68	Yes
GCA_000010105.1_ASM1010v1	NA	74	70	100.00	6.76	63	Yes
GCA_000010165.1_ASM1016v1	NA	74	74	100.00	0.00	73	Yes
GCA_000010605.1_ASM1060v1	NA	73	72	98.65	1.35	64	Yes
GCA_000010725.1_ASM1072v1	NA	74	70	100.00	5.41	57	Yes
GCA_000010805.1_ASM1080v1	NA	71	67	95.95	5.41	61	Yes
GCA_000011245.1_ASM1124v1	NA	74	74	100.00	0.00	71	Yes
GCA_000011305.1_ASM1130v1	NA	74	73	100.00	1.35	64	Yes
GCA_000011345.1_ASM1134v1	NA	70	69	94.59	1.35	67	Yes
GCA_000011465.1_ASM1146v1	NA	70	69	94.59	1.35	61	Yes
GCA_000011605.1_ASM1160v1	NA	73	73	98.65	0.00	70	Yes
GCA_000011745.1_ASM1174v1	NA	69	69	93.24	0.00	66	Yes
GCA_000012145.1_ASM1214v1	NA	69	69	93.24	0.00	63	Yes
GCA_000012225.1_ASM1222v1	NA	58	58	78.38	0.00	53	Yes
GCA_000012305.1_ASM1230v1	NA	73	73	98.65	0.00	68	Yes
GCA_000012325.1_ASM1232v1	NA	74	74	100.00	0.00	71	Yes
GCA_000012345.1_ASM1234v1	NA	72	72	97.30	0.00	63	Yes
GCA_000012445.1_ASM1244v1	NA	71	70	95.95	1.35	66	Yes
GCA_000012505.1_ASM1250v1	NA	71	70	95.95	1.35	62	Yes
GCA_000012565.1_ASM1256v1	NA	71	71	95.95	0.00	63	Yes
GCA_000012625.1_ASM1262v1	NA	73	72	98.65	1.35	66	Yes
GCA_000012645.1_ASM1264v1	NA	71	70	95.95	1.35	62	Yes
GCA_000012745.1_ASM1274v1	NA	74	73	100.00	1.35	69	Yes
