DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	CAZy_Total_and_Distinct
COLOR	#000000
DATA
Rhizophlyctis_rosea_GCA_002214945	347
Rhizophlyctis_rosea_GCA_027596075	423
Pecoramyces_ruminantium_GCA_000412615	1615
Anaeromyces_robustus_GCA_002104895	734
Paraphysoderma_sedebokerense_GCA_025602915	188
Basidiobolus_meristosporus_CBS_931.73_GCA_002104905	546
Basidiobolus_heterosporus_B8920_GCA_000697455	226
Siphonaria_sp._JEL0065_GCA_027596065	354
Entophlyctis_luteolus_GCA_027603655	310
Pseudopyrenochaeta_lycopersici_GCA_003313425	634
Entophlyctis_luteolus_GCA_027604725	356
Entophlyctis_sp._JEL0112_GCA_027604545	324
Linnemannia_elongata_AG-77_GCA_001651415	264
Podochytrium_sp._JEL0797_GCA_027596195	324
Lobosporangium_transversale_GCA_002105155	214
Chytriomyces_hyalinus_GCA_027604745	299
Mucor_ambiguus_GCA_000950595	286
Mucor_circinelloides_1006PhL_GCA_000401635	307
Backusella_circina_FSU_941_GCA_025399235	409
Neocallimastix_californiae_GCA_002104975	1249
Saksenaea_vasiformis_B4078_GCA_000697055	243
Rhizopus_microsporus_var._microsporus_GCA_002083745	254
Rhizopus_delemar_RA_99-880_GCA_000149305	321
Zopfochytrium_polystomum_GCA_025765615	406
Obelidium_mucronatum_GCA_025765595	398
Phycomyces_blakesleeanus_NRRL_1555_-__GCA_001638985	243
Irineochytrium_annulatum_GCA_027600665	390
Chytriomyces_hyalinus_GCA_027604105	291
Chytriomyces_hyalinus_GCA_027604165	288
Syncephalastrum_racemosum_GCA_002105135	279
Chytriomyces_cf._hyalinus_JEL632_GCA_025435555	346
Nowakowskiella_sp._JEL0078_GCA_026955015	288
Hesseltinella_vesiculosa_GCA_002104935	247
Geranomyces_michiganensis_GCA_027602005	165
Piromyces_sp._E2_GCA_002157105	1011
Coprinopsis_cinerea_okayama7#130_GCA_000182895	448
Blyttiomyces_sp._JEL0837_GCA_027604625	284
Chytriomyces_sp._MP71_GCA_025201725	352
Thoreauomyces_humboldtii_GCA_027596035	189
Chytriomyces_confervae_GCA_006535975	314
Blyttiomyces_helicus_GCA_003614705	170
Phlyctochytrium_planicorne_GCA_027600675	229
Cladochytrium_tenue_GCA_026954515	293
Gonapodya_sp._JEL0774_GCA_027604505	177
Piromyces_finnis_GCA_002104945	601
Chytriomyces_hyalinus_GCA_027604085	296
Geranomyces_variabilis_GCA_027603065	187
Trichoderma_gamsii_GCA_001481775	433
Dinochytrium_kinnereticum_GCA_027604005	200
Physocladia_obscura_GCA_027596945	346
Geranomyces_variabilis_GCA_027602705	169
Geranomyces_variabilis_GCA_027600685	184
Chytridium_lagenaria_GCA_025449115	195
Geranomyces_variabilis_GCA_027601485	188
Cladochytrium_replicatum_GCA_025526935	424
Clydaea_vesicula_GCA_027604065	169
Calocera_viscosa_TUFC12733_GCA_001630345	301
Powellomyces_hirtus_GCA_025526995	202
Fimicolochytrium_jonesii_GCA_025526975	205
Hyaloscypha_hepaticicola_GCA_002865625	466
Baeospora_myosura_GCA_001179705	530
Rhizoclosmatium_globosum_GCA_002104985	362
Batrachochytrium_dendrobatidis_JEL423_GCA_000149865	143
Batrachochytrium_dendrobatidis_JAM81_GCA_000203795	162
Batrachochytrium_salamandrivorans_GCA_002006685	183
Wallemia_ichthyophaga_EXF-994_GCA_000400465	112
Polyrhizophydium_stewartii_GCA_027604665	134
Phaeotremella_skinneri_GCA_001599695	193
Geranomyces_variabilis_GCA_025399175	187
Fonsecaea_multimorphosa_CBS_102226_GCA_000836435	329
Nowakowskiella_sp._JEL0407_GCA_027600645	309
Clonostachys_rosea_GCA_000963775	759
Neurospora_crassa_OR74A_GCA_000182925	338
Rhizoclosmatium_sp._JEL0117_GCA_027604365	352
Oehlia_diaphana_GCA_003833135	162
Catenaria_anguillulae_PL171_GCA_002102555	127
Umbelopsis_ramanniana_AG_GCA_025399195	348
Umbelopsis_isabellina_B7317_GCA_000697415	336
Evernia_prunastri_GCA_003184365	284
Borealophlyctis_nickersoniae_GCA_027604605	213
Entophlyctis_helioformis_GCA_025526915	160
Phlyctochytrium_bullatum_GCA_027597005	222
Gaertneriomyces_semiglobifer_GCA_025558075	146
Monilinia_fructicola_GCA_002162545	417
Drosophila_melanogaster_GCA_000001215	268
Chytridiales_sp._JEL_0842_GCA_027604305	231
Chaetoscypha_palmicola_GCA_003988945	401
Cladonia_uncialis_GCA_002927785	239
Pseudomassariella_vexata_GCA_002105095	607
Reticulascus_tulasneorum_GCA_001557505	676
Pseudogymnoascus_verrucosus_GCA_001662655	582
Gigaspora_rosea_GCA_003550325	315
Dimargaris_cristalligena_GCA_003614675	122
Pestalotiopsis_fici_W106-1_GCA_000516985	859
Paramyrothecium_roridum_GCA_003012165	809
Blastocladiella_britannica_GCA_025349905	111
Globomyces_sp._JEL0801_GCA_027595885	145
Phlyctochytrium_arcticum_GCA_025602905	165
Kappamyces_sp._JEL0829_GCA_027604465	143
Kappamyces_sp._JEL0680_GCA_027604405	118
Gorgonomyces_haynaldii_GCA_025526955	191
Glonium_stellatum_GCA_001692915	498
Morchella_conica_CCBAS932_GCA_003790465	357
Lepidopterella_palustris_CBS_459.81_GCA_001692735	317
Hysterium_pulicare_CBS_123377_GCA_000467715	509
Periconia_macrospinosa_GCA_003073855	691
Colletotrichum_nymphaeae_SA-01_GCA_001563115	759
Gonapodya_prolifera_JEL478_GCA_001574975	278
Hortaea_werneckii_EXF-2000_GCA_002127715	811
Knoxdaviesia_proteae_GCA_001510565	250
Tuber_melanosporum_GCA_000151645	187
Corynespora_cassiicola_Philippines_GCA_003016335	714
Ascobolus_immersus_RN42_GCA_003788565	351
Microdochium_bolleyi_GCA_001566295	525
Clohesyomyces_aquaticus_GCA_002105025	626
Fragosphaeria_purpurea_GCA_002778095	344
Paraphaeosphaeria_sporulosa_GCA_001642045	675
Ophioceras_dolichostomum_GCA_003049485	471
Ascochyta_viciae-villosae_GCA_004335205	530
Plenodomus_biglobosus/Leptosphaeria_biglobosa_'brassicae'_group_GCA_900465125	461
Hyaloraphidium_curvatum_GCA_025558095	359
Bipolaris_maydis_ATCC_48331_GCA_000354255	544
Globomyces_pollinis-pini_GCA_025399215	218
Corinectria_fuckeliana_GCA_003385255	434
Orbilia_oligospora_ATCC_24927_GCA_000225545	387
Synchytrium_microbalum_GCA_006535985	222
Beverwykella_pulmonaria_GCA_001599595	623
Podospora_comata_GCA_900290415	467
Phialocephala_subalpina_GCA_900073065	835
Endocalyx_cinctus_GCA_001600455	636
Rhizophlyctis_rosea_GCA_027596135	336
Parastagonospora_nodorum_SN15_GCA_000146915	532
Helminthosporium_solani_B-AC-16A_GCA_000498615	502
Neofusicoccum_parvum_UCRNP2_GCA_000385595	541
Hymenoscyphus_occultus_GCA_900536445	532
Endocarpon_pusillum_Z07020_GCA_000464535	219
Aureobasidium_subglaciale_EXF-2481_GCA_000721755	448
Boothiomyces_macroporosus_GCA_027604185	161
Xylona_heveae_TC161_GCA_001619985	201
Eutypa_lata_UCREL1_GCA_000349385	614
Coniella_lustricola_GCA_003019895	432
Yarrowia_lipolytica_CLIB122_GCA_000002525	123
Saccharomyces_cerevisiae_S288C_GCA_000146045	132
Ascoidea_rubescens_DSM_1968_GCA_001661345	152
Boothiomyces_sp._JEL0866_GCA_027604345	147
Sporopachydermia_lactativora_GCA_003705295	119
Terramyces_sp._JEL0728_GCA_027603945	161
Boothiomyces_sp._JEL0838_GCA_027604245	141
Cyphellophora_europaea_CBS_101466_GCA_000365145	372
Schizosaccharomyces_pombe_GCA_000002945	108
Erythrobasidium_yunnanense_GCA_001600175	236
Alloascoidea_hylecoeti_GCA_001600815	224
Aspergillus_spinulosporus_GCA_003574815	491
Umbilicaria_muehlenbergii_GCA_000611775	207
Talaromyces_purpureogenus_GCA_001270325	557
Paecilomyces_variotii_GCA_003990805	290
Graphilbum_fragrans_GCA_001513895	361
Baudoinia_panamericana_UAMH_10762_GCA_000338955	304
Ascosphaera_apis_ARSEF_7405_GCA_001636715	170
Coniochaeta_hoffmannii_GCA_002798055	451
Scedosporium_aurantiacum_GCA_000812075	405
Neurospora_sublineolata_FGSC_5508_GCA_000604185	236
Cladosporium_sphaerospermum_UM_843_GCA_000261425	444
Thielaviopsis_punctulata_GCA_000968615	219
Pseudophaeomoniella_oleicola_GCA_003868215	345
Verticillium_tricorpus_MUCL_9792_GCA_000732205	610
Arthrobotrys_flagrans_GCA_004000055	345
Phyllosticta_capitalensis_GCA_001604925	335
