gca	taxonomy	annotation_method	version_info	ncbi_annot_avail	funannotate_annot_avail	fasta_file	gff_file
GCA_002572885	Blastomyces parvus	NCBI GenBank	GCA_002572885.1	True	False	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Genomes/GCA_002572885.1_Emmon_parv_130_genomic.fna	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/GFFs_from_NCBI_GenBank/GCA_002572885.1_Emmon_parv_130_genomic.gff
GCA_000150975	Nannizzia gypsea	NCBI RefSeq	GCF_000150975.2	True	False	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Genome_Fastas_in_NCBI_RefSeq/GCF_000150975.2_MS_CBS118893_genomic.fna	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/GFFs_from_NCBI_RefSeq/GCF_000150975.2_MS_CBS118893_genomic.gff
GCA_900128795	Malbranchea cinnamomea	funannotate	GCA_900128795.2	True	True	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Funannotate_Results/GCA_900128795/GCA_900128795.cleaned.sorted.masked.fa	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Funannotate_Results/GCA_900128795/gene_prediction_results/predict_results/GCA_900128795.gff3
GCA_000151175	Trichophyton equinum	NCBI GenBank	GCA_000151175.1	True	False	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Genomes/GCA_000151175.1_ASM15117v1_genomic.fna	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/GFFs_from_NCBI_GenBank/GCA_000151175.1_ASM15117v1_genomic.gff
GCA_000151455	Trichophyton tonsurans	NCBI GenBank	GCA_000151455.1	True	False	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Genomes/GCA_000151455.1_ASM15145v1_genomic.fna	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/GFFs_from_NCBI_GenBank/GCA_000151455.1_ASM15145v1_genomic.gff
GCA_000151425	Trichophyton rubrum	funannotate	GCF_000151425.1	True	True	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Funannotate_Results/GCA_000151425/GCA_000151425.cleaned.sorted.masked.fa	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Funannotate_Results/GCA_000151425/gene_prediction_results/predict_results/GCA_000151425.gff3
GCA_000149585	Histoplasma capsulatum	NCBI RefSeq	GCF_000149585.1	True	False	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Genome_Fastas_in_NCBI_RefSeq/GCF_000149585.1_ASM14958v1_genomic.fna	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/GFFs_from_NCBI_RefSeq/GCF_000149585.1_ASM14958v1_genomic.gff
GCA_000003525	Blastomyces dermatitidis	funannotate	GCA_000003525.2	True	True	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Funannotate_Results/GCA_000003525/GCA_000003525.cleaned.sorted.masked.fa	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Funannotate_Results/GCA_000003525/gene_prediction_results/predict_results/GCA_000003525.gff3
GCA_001430935	Amauroascus mutatus	funannotate	GCA_001430935.1	False	True	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Funannotate_Results/GCA_001430935/GCA_001430935.cleaned.sorted.masked.fa	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Funannotate_Results/GCA_001430935/gene_prediction_results/predict_results/GCA_001430935.gff3
GCA_003206225	Blastomyces percursus	funannotate	GCA_003206225.1	False	True	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Funannotate_Results/GCA_003206225/GCA_003206225.cleaned.sorted.masked.fa	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Funannotate_Results/GCA_003206225/gene_prediction_results/predict_results/GCA_003206225.gff3
