Assembly_ID	Assembly_Name	BGC_Count	BGCome_Size	Genome_Size	BGC_Genome_Prop	Metallophore_Genome_Prop	NRPS_Genome_Prop	PKS_Genome_Prop
GCA_000150735	Paracoccidioides_brasiliensis_GCA_000150735	19	1231299	29468725	0.04178324647571281	0.0025830096144302136	0.022670373421313613	0.006973189372801164
GCA_001430955	Chrysosporium_queenslandicum_GCA_001430955	28	1738571	29978890	0.05799317453047795	0.004126603753507885	0.030208990392906476	0.02874142438229034
GCA_002572855	Emmonsia_crescens_GCA_002572855	17	1097976	33739611	0.03254263956985159	0.002424212893266612	0.01960096694653652	0.003297904057044404
GCA_000812245	Onygena_corvina_GCA_000812245	35	2000756	21606169	0.0926011455339445	0.003646134583136881	0.05801375523814518	0.038066813232831787
GCA_001430945	Amauroascus_niger_GCA_001430945	39	2207444	34144242	0.06465054927855772	0.004081508091466784	0.03563827833694478	0.027520277064577974
GCA_001430925	Byssoonygena_ceratinophila_GCA_001430925	21	1038583	24432945	0.04250748323626153	0.001968448748196339	0.027264253244952665	0.007287169025264863
GCA_001430935	Amauroascus_mutatus_GCA_001430935	35	1939287	27213582	0.07126173246873564	0.00565166320258759	0.0329310195181215	0.03147762760521566
GCA_000151175	Trichophyton_equinum_GCA_000151175	35	2355864	23476915	0.10034810791792703	0.0	0.05879154054099527	0.036987823996466315
GCA_000149585	Histoplasma_capsulatum_GCA_000149585	17	1098669	30635775	0.03586228845198138	0.0	0.018839477702130923	0.0022414644316979086
GCA_000622975	Trichophyton_interdigitale_GCA_000622975	42	1982932	22466310	0.08826246944869896	0.0026651016566583475	0.04921315516433273	0.026710928496936077
GCA_001651435	Trichophyton_violaceum_GCA_001651435	34	2312675	23193009	0.09971431477476683	0.0034083977633087626	0.05239626302908777	0.034855675690894615
GCA_000150975	Nannizzia_gypsea_GCA_000150975	46	2915085	23115519	0.12610943323401044	0.0030615362778573132	0.07153142440799187	0.06280313238911053
GCA_002573605	Polytolypa_hystricis_GCA_002573605	44	2382376	34688129	0.06867986451503337	0.0022002916329099216	0.02122308182144964	0.030421358269279962
GCA_000150705	Paracoccidioides_lutzii_GCA_000150705	19	1243485	32625232	0.03811421172422621	0.002321883871967562	0.02004598771895323	0.0062092738528265485
GCA_000003855	Blastomyces_gilchristii_GCA_000003855	18	1111677	74393771	0.01494314624809112	0.0010428158024144252	0.008112292089615943	0.0009225369150866139
GCA_003206225	Blastomyces_percursus_GCA_003206225	17	330518	32039827	0.010315848459481382	0.0	0.006413611409325026	0.0007146730224229988
GCA_000003525	Blastomyces_dermatitidis_GCA_000003525	17	1071590	66270669	0.016169898631927197	0.001169069230310622	0.009779092466985658	0.001036144663033355
GCA_000003515	Uncinocarpus_reesii_GCA_000003515	23	1514770	22166369	0.06833640638211878	0.005594105196029174	0.037477721317370476	0.027366096810894018
GCA_002572885	Blastomyces_parvus_GCA_002572885	20	1146627	27832775	0.04119700604772611	0.002806691032424902	0.02217263639719719	0.004875439118090094
GCA_001883825	Emergomyces_pasteurianus_GCA_001883825	17	657219	32381861	0.020295899608734656	0.0	0.009744128047489302	0.0012990297253144282
GCA_000616865	Trichophyton_soudanense_GCA_000616865	34	1933400	22836037	0.08466442754493698	0.0031619759593137812	0.043634453736434216	0.03160789238518049
GCA_000151125	Trichophyton_benhamiae_GCA_000151125	36	2393180	22224156	0.10768372936187093	0.003556670498533218	0.060291378444247784	0.04140053732524196
GCA_000149335	Coccidioides_immitis_GCA_000149335	22	1389291	29015619	0.04788079826937347	0.004990829249584508	0.027284753084192346	0.02459192754081862
GCA_002167195	Ophidiomyces_ophiodiicola_GCA_002167195	23	1481595	21573831	0.06867556346390218	0.0034864925010305308	0.042554704354548806	0.01661647391230607
GCA_002573585	Helicocarpus_griseus_GCA_002573585	46	2480280	32020695	0.0774586560347925	0.0018553313724139966	0.03305509140260697	0.03826562790095593
GCA_000151455	Trichophyton_tonsurans_GCA_000151455	35	2302948	22505389	0.10232873557528821	0.003517824108705697	0.0590578549875321	0.03841866496953241
GCA_000151335	Coccidioides_posadasii_GCA_000151335	23	1497150	27013379	0.05542253710652044	0.00535530930802844	0.029265313310119404	0.024425859497251342
GCA_000151145	Microsporum_canis_GCA_000151145	45	2937370	23137485	0.12695286458316452	0.0034127304674643763	0.08048104623298513	0.06777339888064757
GCA_000151505	Trichophyton_verrucosum_GCA_000151505	38	1805062	22539176	0.08008553640115326	0.001754855634473949	0.044497411972824565	0.02833053879165769
GCA_003118255	Trichophyton_mentagrophytes_GCA_003118255	41	2131043	22631310	0.09416348412884627	0.0031811680366713195	0.05325657242112807	0.0323893756039752
GCA_900128795	Malbranchea_cinnamomea_GCA_900128795	23	1091094	24925763	0.043773745261077864	0.0032454773801708697	0.018758262284689138	0.013656633098854386
GCA_002110485	Emergomyces_orientalis_GCA_002110485	18	1099793	35473666	0.031003082681107727	0.0	0.0210730968713524	0.0035478148776616433
GCA_001636715	Ascosphaera_apis_GCA_001636715	14	750100	20034979	0.0374395201512315	0.0	0.02103481116700946	0.003304670296884264
GCA_000151425	Trichophyton_rubrum_GCA_000151425	32	2150763	22127963	0.09719661046070982	0.0035724481281896574	0.054435150673381005	0.035595865737844914
