DATASET_HEATMAP
SEPARATOR TAB
COLOR	#000000
DATASET_LABEL	NACHT
FIELD_LABELS	WD40	Ank_2	Ank	HET	Ank_4	NACHT_N	PNP_UDP_1	TIR_2	TPR_10	Helo_like_N
DATA
GCA_001557505|CDS_7872|290|435	0	0	0	0	0	0	0	0	0	0
GCA_900290415|CDS_8167|387|536	1	0	0	0	0	0	0	0	0	0
GCA_001557505|CDS_4701|288|430	1	0	0	1	0	0	0	0	0	0
GCA_000225545|CDS_1163|520|666	1	0	0	0	0	0	0	0	0	0
GCA_004000055|CDS_7|199|344	1	0	0	0	0	0	0	0	0	0
GCA_004000055|CDS_3091|202|353	1	0	0	0	0	0	0	0	0	0
GCA_004000055|CDS_4355|195|355	1	0	0	0	0	0	0	0	0	0
GCA_000225545|CDS_9107|195|365	1	0	0	0	0	0	0	0	0	0
GCA_000225545|CDS_7250|496|651	1	0	0	0	0	0	0	0	0	0
GCA_000225545|CDS_9105|271|435	1	0	0	0	0	0	0	0	0	0
GCA_001692735|CDS_13637|62|211	1	0	0	0	0	0	0	0	0	0
GCA_900536445|CDS_1612|84|242	1	0	0	0	0	0	0	0	0	0
GCA_001692915|CDS_11782|49|200	0	0	0	0	0	0	0	0	0	0
GCA_001642045|CDS_5461|88|250	1	0	0	0	0	0	0	0	0	0
GCA_003313425|CDS_2419|110|262	0	0	0	0	0	0	0	0	0	0
GCA_001662655|CDS_1835|87|235	1	0	0	0	0	0	0	0	0	0
GCA_900073065|CDS_15928|292|448	1	0	0	1	0	0	0	0	0	0
GCA_002865625|CDS_25|260|417	1	0	0	1	0	0	0	0	0	0
GCA_002865625|CDS_6938|302|450	1	0	0	1	0	0	0	0	0	0
GCA_001692915|CDS_13052|356|510	1	0	0	0	0	0	0	0	0	0
GCA_000464535|CDS_3224|278|442	1	0	0	1	0	0	0	0	0	0
GCA_002240705|CDS_13190|189|348	0	0	0	0	0	1	0	0	0	0
GCA_000225545|CDS_1243|378|528	1	0	0	0	0	0	1	0	0	0
GCA_900073065|CDS_6745|344|500	1	0	0	1	0	0	0	0	0	0
GCA_002240705|CDS_9550|42|148	0	0	0	0	0	0	0	0	0	0
GCA_003073855|CDS_17649|51|188	0	0	0	0	0	0	0	0	0	0
GCA_003073855|CDS_10769|95|276	1	0	0	0	0	0	0	0	0	0
GCA_004155245|CDS_9714|464|615	1	0	0	0	0	0	0	0	0	0
GCA_001599595|CDS_8874|95|251	0	0	0	0	0	0	0	0	0	0
GCA_003313425|CDS_10804|88|243	1	0	0	0	0	0	0	0	0	0
GCA_000354255|CDS_7392|83|236	1	0	0	0	0	0	0	0	0	0
GCA_003016335|CDS_14496|90|244	1	0	0	0	0	0	0	0	0	0
GCA_900073065|CDS_12057|298|463	1	0	0	1	0	0	0	0	0	0
GCA_900073065|CDS_17807|310|465	1	0	0	1	0	0	0	0	0	0
GCA_001662655|CDS_8430|89|236	1	0	0	0	0	0	0	0	0	0
GCA_003019875|CDS_1746|70|218	1	0	0	0	0	0	0	0	0	0
GCA_001692735|CDS_13575|66|213	0	0	0	0	0	0	0	0	0	0
GCA_001692735|CDS_13596|68|231	1	0	0	0	0	0	0	0	0	0
GCA_002865625|CDS_1096|452|609	1	0	0	1	0	0	0	0	0	0
GCA_002105025|CDS_13594|88|250	0	0	0	0	0	0	0	0	0	0
GCA_001642045|CDS_3451|82|243	1	0	0	0	0	0	0	0	0	0
GCA_001599595|CDS_7582|90|243	1	0	0	0	0	0	0	0	0	0
GCA_001599595|CDS_5111|88|244	0	0	0	0	0	0	0	0	0	0
GCA_003788615|CDS_3125|185|336	0	0	0	0	0	0	0	0	0	0
GCA_002105095|CDS_2218|87|256	0	0	0	0	0	0	0	0	0	0
GCA_001566295|CDS_11121|408|576	1	0	0	0	0	0	0	0	0	0
GCA_001692735|CDS_4983|64|220	1	0	0	0	0	0	0	0	0	0
GCA_001557505|CDS_11708|311|461	1	0	0	1	0	0	0	0	0	0
GCA_001557505|CDS_11743|203|355	1	0	0	0	0	0	0	0	0	0
GCA_002865625|CDS_11586|299|447	1	0	0	1	0	0	0	0	0	0
GCA_003184365|CDS_11584|206|357	1	0	0	0	0	0	0	0	0	1
GCA_003184365|CDS_11944|206|355	1	0	0	0	0	0	0	0	0	1
GCA_003184365|CDS_11949|206|355	1	0	0	0	0	0	0	0	0	1
GCA_000963775|CDS_11826|206|354	1	0	0	0	0	0	0	0	0	0
GCA_003788615|CDS_958|238|384	1	0	0	0	0	0	0	0	0	0
GCA_001692735|CDS_9246|46|201	0	0	0	0	0	0	0	0	0	0
GCA_001692915|CDS_13923|222|379	1	0	0	0	0	0	0	0	0	0
GCA_001481775|CDS_2169|201|358	1	0	0	0	0	0	0	0	0	0
GCA_003788565|CDS_3423|433|600	0	0	0	0	0	0	1	0	0	0
GCA_003788565|CDS_6840|456|623	1	0	0	0	0	0	1	0	0	0
GCA_004216415|CDS_1546|571|721	0	0	0	0	0	0	0	0	0	0
GCA_002240705|CDS_1896|80|233	1	0	0	0	0	0	0	0	0	0
GCA_003788565|CDS_5481|415|598	1	0	0	0	0	0	1	0	0	0
GCA_001599595|CDS_1866|199|348	1	0	0	0	0	0	0	0	0	0
GCA_001599595|CDS_7997|203|303	0	0	0	0	0	0	0	0	0	0
GCA_001692735|CDS_10963|200|355	1	0	0	0	0	0	0	0	0	1
GCA_000354255|CDS_12132|200|356	0	0	0	0	0	0	0	0	0	0
GCA_003788615|CDS_10818|200|346	0	0	0	0	0	0	0	0	0	0
GCA_003788615|CDS_11740|14|160	0	0	0	0	0	0	0	0	0	0
GCA_003788615|CDS_11835|200|317	0	0	0	0	0	0	0	0	0	0
GCA_003788615|CDS_10810|196|342	0	0	0	0	0	0	0	0	0	0
GCA_003788615|CDS_10815|49|195	1	0	0	0	0	0	0	0	0	0
GCA_003788615|CDS_11297|203|349	0	0	0	0	0	0	0	0	0	0
GCA_001692735|CDS_7220|200|347	1	0	0	0	0	0	0	0	0	1
GCA_001692915|CDS_4561|202|349	1	0	0	0	0	0	0	0	0	0
GCA_001600455|CDS_5401|306|462	1	0	0	1	0	0	0	0	0	0
GCA_001600455|CDS_5496|76|226	0	0	0	0	0	0	0	0	0	0
GCA_002105095|CDS_7292|184|336	1	0	0	0	0	0	0	0	0	0
GCA_000963775|CDS_10834|297|450	1	0	0	1	0	0	0	0	0	0
GCA_002105095|CDS_8605|78|233	1	0	0	0	0	0	0	0	0	0
