DATASET_HEATMAP
SEPARATOR TAB
COLOR	#000000
DATASET_LABEL	HET
FIELD_LABELS	Ank_2	NACHT	TPR_12	WD40	TPR_10	NB-ARC	Pkinase	Ank	Ank_4	ZZ
DATA
GCA_000365145|CDS_9126|77|225	0	0	0	0	0	0	0	0	0	0
GCA_003073855|CDS_11801|82|229	0	0	0	0	0	0	0	0	0	0
GCA_001557505|CDS_6661|55|197	0	0	0	0	0	0	0	0	0	0
GCA_002865625|CDS_2891|58|197	0	0	0	0	0	0	0	0	0	0
GCA_900073065|CDS_11298|54|206	0	0	0	0	0	0	0	0	0	0
GCA_001642045|CDS_14063|39|130	0	0	0	0	0	0	0	0	0	0
GCA_000338955|CDS_6066|30|116	0	0	0	0	0	0	0	0	0	0
GCA_000732205|CDS_4501|95|235	0	0	0	0	0	0	0	0	0	0
GCA_000467715|CDS_11953|61|226	0	0	0	0	0	0	0	0	0	0
GCA_002105025|CDS_5809|20|104	0	0	0	0	0	0	0	0	0	0
GCA_001447215|CDS_3888|48|193	0	0	0	0	0	0	0	0	0	0
GCA_003988795|CDS_9816|176|327	0	0	0	0	0	0	0	0	0	0
GCA_000464535|CDS_7306|46|205	0	0	0	0	0	0	0	0	0	0
GCA_001566295|CDS_9450|47|217	0	0	0	0	0	0	0	0	0	0
GCA_003049485|CDS_2342|37|252	0	0	0	0	0	0	0	0	0	0
GCA_000392275|CDS_8228|50|203	0	0	0	0	0	0	0	0	0	0
GCA_000836295|CDS_1594|46|200	0	0	0	0	0	0	0	0	0	0
GCA_003264845|CDS_744|53|148	0	0	0	0	0	0	0	0	0	0
GCA_001557505|CDS_9046|50|202	0	0	0	0	0	0	0	0	0	0
GCA_002105025|CDS_1384|103|255	0	0	0	0	0	0	0	0	0	0
GCA_003988795|CDS_6274|59|230	0	0	0	0	0	0	0	0	0	0
GCA_002081935|CDS_10204|18|212	0	0	0	0	0	0	0	0	0	0
GCA_000812075|CDS_3363|113|282	0	0	0	0	0	0	0	0	0	0
GCA_900073065|CDS_8905|61|159	0	0	0	0	0	0	0	0	0	0
GCA_001563115|CDS_11148|27|147	0	0	0	0	0	0	0	0	0	0
GCA_001599595|CDS_4977|12|119	0	0	0	0	0	0	0	0	0	0
GCA_003795315|CDS_9939|4|100	0	0	0	0	0	0	0	0	0	0
GCA_900618795|CDS_5710|68|224	0	0	0	0	0	0	0	0	0	0
GCA_001692915|CDS_6586|11|62	0	0	0	0	0	0	0	0	0	0
GCA_002105025|CDS_12329|67|160	0	0	0	0	0	0	0	0	0	0
GCA_000963775|CDS_13215|67|232	0	0	0	0	0	0	0	0	0	0
GCA_002865625|CDS_5570|61|102	0	0	0	0	0	0	0	0	0	0
GCA_001566295|CDS_11769|75|217	0	0	0	0	0	0	0	0	0	0
GCA_002127715|CDS_13928|560|649	0	0	0	0	0	0	0	0	0	0
GCA_001447215|CDS_7419|95|240	0	0	0	0	0	0	0	0	0	0
GCA_003049485|CDS_989|446|589	0	0	0	0	0	0	0	0	0	0
GCA_001642045|CDS_7747|55|215	0	0	0	0	0	0	0	0	0	0
GCA_000738655|CDS_2874|133|288	0	0	0	0	0	0	0	0	0	0
GCA_001563115|CDS_11035|66|212	0	0	0	0	0	0	0	0	0	0
GCA_000738655|CDS_9990|52|205	0	0	0	0	0	0	0	0	0	0
GCA_000836295|CDS_8614|53|206	0	0	0	0	0	0	0	0	0	0
GCA_000226115|CDS_6163|63|230	0	0	0	0	0	0	0	0	0	0
GCA_003016335|CDS_15491|46|157	0	0	0	0	0	0	0	0	0	0
GCA_001566295|CDS_9281|104|188	0	0	0	0	0	0	0	0	0	0
GCA_002865625|CDS_8586|16|168	0	0	0	0	0	0	0	0	0	0
GCA_001566295|CDS_8856|172|336	0	0	0	0	0	0	0	0	0	0
GCA_000442125|CDS_2929|50|219	0	0	0	0	0	0	0	0	0	0
GCA_001599595|CDS_11910|42|215	0	0	0	0	0	0	0	0	0	0
GCA_000349385|CDS_4397|59|231	0	0	0	0	0	0	0	0	0	0
GCA_900073065|CDS_11275|51|233	0	0	0	0	0	0	0	0	0	0
GCA_002865625|CDS_14927|51|233	0	0	0	0	0	0	0	0	0	0
GCA_001600455|CDS_11973|49|234	0	0	0	0	0	0	0	0	0	0
GCA_002865625|CDS_10324|50|212	0	0	0	0	0	0	0	0	0	0
GCA_001692735|CDS_4332|201|380	0	0	0	0	0	0	0	0	0	0
GCA_003016335|CDS_5683|108|282	0	0	0	0	0	0	0	0	0	0
GCA_002105025|CDS_232|103|275	0	0	0	0	0	0	0	0	0	0
GCA_900465125|CDS_7100|536|604	0	0	0	0	0	0	0	0	0	0
GCA_003073855|CDS_8550|23|194	0	0	0	0	0	0	0	0	0	0
GCA_001642045|CDS_14091|50|193	0	0	0	0	0	0	0	0	0	0
GCA_003073855|CDS_12634|52|217	0	0	0	0	0	0	0	0	0	0
GCA_002240705|CDS_11843|45|214	0	0	0	0	0	0	0	0	0	0
GCA_000354255|CDS_11337|61|207	0	0	0	0	0	0	0	0	0	0
GCA_003016335|CDS_5493|42|222	0	0	0	0	0	0	0	0	0	0
GCA_003988795|CDS_6925|42|203	0	0	0	0	0	0	0	0	0	0
GCA_002162545|CDS_231|52|205	0	0	0	0	0	0	0	0	0	0
GCA_002927785|CDS_4687|49|225	0	0	0	0	0	0	0	0	0	0
GCA_002865625|CDS_11015|74|235	0	0	0	0	0	0	0	0	0	0
GCA_000338955|CDS_3437|119|264	0	0	0	0	0	0	0	0	0	0
GCA_900618795|CDS_2438|136|285	0	0	0	0	0	0	0	0	0	0
GCA_025449115|CDS_9954|58|146	0	0	0	0	0	0	0	0	0	0
GCA_025526935|CDS_10410|305|398	0	0	0	0	0	0	0	0	0	0
GCA_003988945|CDS_2458|148|296	0	0	0	0	0	0	0	0	0	0
GCA_003016335|CDS_9765|277|434	0	0	0	0	0	0	0	0	0	0
GCA_002865625|CDS_7197|159|298	0	0	0	0	0	0	0	0	0	0
GCA_001692735|CDS_9238|63|223	0	0	0	0	0	0	0	0	0	0
GCA_001956345|CDS_4442|8|88	0	0	0	0	0	0	0	0	0	0
GCA_003385255|CDS_6362|226|378	0	0	0	0	0	0	0	0	0	0
GCA_003988795|CDS_699|251|403	0	0	0	0	0	0	0	0	0	0
GCA_001557505|CDS_9058|110|256	0	0	0	0	0	0	0	0	0	0
GCA_001513895|CDS_562|204|367	0	0	0	0	0	0	0	0	0	0
GCA_003073855|CDS_7385|142|294	0	0	0	0	0	0	0	0	0	0
GCA_002081935|CDS_7088|194|351	0	0	0	0	0	0	0	0	0	0
