Assembly_ID	Species	BGC_Count	Complete_BGC_Count	BGC_Sum	Genome_Size	BGC_Genome_Prop	Terpene_Prop	Metallophore_Prop	NRPS_Prop	PKS_Prop	NRPS_or_PKS	Complete_NRPS_or_PKS	NRPS_or_PKS_Sum	NRPS_or_PKS_Sum_Strict
GCA_002850765.1	NA	50	35	3202623	27117527	0.11810158795084817	0.18	0.0	0.5	0.32	34	22	2355882	1919278
GCA_009193565.1	NA	49	25	2615807	30094142	0.08692080339090578	0.1836734693877551	0.0	0.30612244897959184	0.32653061224489793	28	13	1712607	1330347
GCA_003698115.1	NA	25	4	1065573	20467707	0.052061181059509985	0.12	0.04	0.56	0.28	20	3	933416	725093
GCF_000002655.1	NA	37	35	2463522	28809941	0.08550944273020206	0.1891891891891892	0.0	0.43243243243243246	0.35135135135135137	27	26	1964812	1658216
GCA_014281905.1	NA	47	19	2137747	29562754	0.07231217362225455	0.19148936170212766	0.02127659574468085	0.46808510638297873	0.2553191489361702	31	11	1553762	1165596
GCF_000011425.1	NA	55	54	3599641	29817824	0.12072111633632286	0.16363636363636364	0.0	0.43636363636363634	0.38181818181818183	40	39	3009562	2469052
GCF_002847465.1	NA	60	58	4024055	32440129	0.12404559180390436	0.21666666666666667	0.05	0.4	0.4166666666666667	44	42	3367178	3085727
GCA_001990825.1	NA	68	58	4459187	33794207	0.13195122465811965	0.22058823529411764	0.0	0.5294117647058824	0.36764705882352944	49	41	3628442	2695041
GCA_009193595.1	NA	82	35	4564806	36987641	0.12341435886651976	0.17073170731707318	0.0	0.35365853658536583	0.34146341463414637	50	19	3044518	2687671
GCA_009193545.1	NA	81	62	5609187	39747037	0.14112214201023338	0.1728395061728395	0.012345679012345678	0.4444444444444444	0.30864197530864196	54	40	4045688	3439195
GCA_003344505.1	NA	87	77	6286582	35747734	0.17585959434519682	0.19540229885057472	0.022988505747126436	0.47126436781609193	0.47126436781609193	64	59	5157641	4476261
GCA_025688815.1	NA	76	52	4501350	39450594	0.11410094357514616	0.17105263157894737	0.013157894736842105	0.42105263157894735	0.3815789473684211	56	38	3664919	2862232
GCF_001204775.2	NA	103	27	4812662	36050392	0.13349818775895697	0.14563106796116504	0.009708737864077669	0.4174757281553398	0.33980582524271846	70	17	3561222	2686232
GCA_009193505.1	NA	87	63	5827298	39331078	0.1481601394195196	0.16091954022988506	0.022988505747126436	0.40229885057471265	0.41379310344827586	63	45	4637645	3969312
GCA_003184635.1	NA	82	58	5620306	37594984	0.14949616682906422	0.17073170731707318	0.0	0.5	0.4024390243902439	59	40	4485217	3578662
GCF_016861865.1	NA	71	68	4426951	34318862	0.12899469102442848	0.15492957746478872	0.0	0.4647887323943662	0.352112676056338	50	47	3456832	2981477
GCA_003184645.1	NA	82	32	4413408	40366849	0.10933248716044197	0.15853658536585366	0.0	0.4024390243902439	0.3780487804878049	60	22	3431764	2942319
GCF_009193645.1	NA	91	68	5749221	37763833	0.15224145811681775	0.14285714285714285	0.01098901098901099	0.43956043956043955	0.3076923076923077	61	41	4247930	3433576
GCF_009193585.1	NA	98	59	5634625	40004407	0.14085010683947896	0.16326530612244897	0.01020408163265306	0.4489795918367347	0.3469387755102041	67	37	4318142	3429409
GCA_009193665.1	NA	91	64	5580114	39636825	0.1407810539819978	0.16483516483516483	0.02197802197802198	0.43956043956043955	0.34065934065934067	61	42	4117004	3338933
GCA_012656285.1	NA	75	35	4596155	33267616	0.1381570293464972	0.2	0.04	0.6133333333333333	0.36	59	27	4044392	3654381
GCF_014117465.1	NA	78	76	5512318	36995182	0.1490009699100818	0.19230769230769232	0.01282051282051282	0.44871794871794873	0.38461538461538464	56	54	4292233	3629986
GCF_009193445.1	NA	88	65	5754505	38221759	0.15055573449667767	0.1590909090909091	0.03409090909090909	0.45454545454545453	0.4090909090909091	62	44	4651168	3865805
GCF_002847485.1	NA	53	49	3812334	28254160	0.1349300067671451	0.1509433962264151	0.0	0.49056603773584906	0.3018867924528302	35	31	2733477	2283898
GCA_003589665.1	NA	48	10	2111796	25799197	0.08185510580038596	0.25	0.0	0.5	0.2916666666666667	35	7	1744587	1415448
GCA_025688805.1	NA	60	18	2962765	28333993	0.10456574193407897	0.23333333333333334	0.03333333333333333	0.43333333333333335	0.3333333333333333	43	12	2410251	2070680
GCF_000149615.1	NA	71	69	5044538	29230766	0.17257631907422474	0.15492957746478872	0.014084507042253521	0.4507042253521127	0.36619718309859156	50	48	3907758	3348480
