DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	CAZy_Homologs
COLOR	#000000
DATA
Phlyctochytrium_planicorne_GCA_027600675	227
Phaeoacremonium_minimum_UCRPA7_GCA_000392275	583
Corynespora_cassiicola_Philippines_GCA_003016335	952
Paraphysoderma_sedebokerense_GCA_025602915	243
Erythrobasidium_yunnanense_GCA_001600175	255
Chytriomyces_sp._MP71_GCA_025201725	359
Smittium_simulii_GCA_003086735	149
Taphrina_wiesneri_JCM_22204_GCA_000836135	233
Obelidium_mucronatum_GCA_025765595	343
Polychytrium_aggregatum_GCA_025602895	296
Monilinia_fructicola_GCA_002162545	552
Ustilago_maydis_521_GCA_000328475	310
Chaetoscypha_palmicola_GCA_003988945	533
Gonapodya_prolifera_JEL478_GCA_001574975	324
Ramichloridium_luteum_GCA_002368545	438
Mitosporidium_daphniae_GCA_000760515	42
Corinectria_fuckeliana_GCA_003385255	634
Xylona_heveae_TC161_GCA_001619985	330
Bipolaris_maydis_ATCC_48331_GCA_000354255	706
Emmonsia_crescens_GCA_002572855	344
Syncephalastrum_racemosum_GCA_002105135	428
Glonium_stellatum_GCA_001692915	686
Coelomomyces_lativittatus_GCA_026937265	91
Alloascoidea_hylecoeti_GCA_001600815	295
Verruconis_gallopava_GCA_000836295	432
Mixia_osmundae_IAM_14324_GCA_000708205	203
Podospora_comata_GCA_900290415	655
Homolaphlyctis_polyrhiza_JEL_142_GCA_000235945	111
Eutypa_lata_UCREL1_GCA_000349385	795
Hyaloraphidium_curvatum_GCA_025558095	420
Geranomyces_variabilis_GCA_027600685	234
Aureobasidium_subglaciale_EXF-2481_GCA_000721755	588
Phialocephala_subalpina_GCA_900073065	1118
Ascochyta_viciae-villosae_GCA_004335205	701
Lobulomyces_angularis_GCA_027604685	183
Irineochytrium_annulatum_GCA_027600665	356
Fragosphaeria_purpurea_GCA_002778095	489
Ascoidea_rubescens_DSM_1968_GCA_001661345	201
Gaertneriomyces_sp._JEL0708_GCA_027603645	207
Tolypocladium_paradoxum_GCA_002916505	419
Geranomyces_michiganensis_GCA_027602005	209
Capsaspora_owczarzaki_ATCC_30864_GCA_000151315	169
Epichloe_elymi_GCA_002591845	361
Tuber_melanosporum_GCA_000151645	284
Spizellomyces_punctatus_DAOM_BR117_GCA_000182565	209
Valsa_malicola_GCA_003795315	578
Gonapodya_sp._JEL0774_GCA_027604505	147
Oehlia_diaphana_GCA_003833135	257
Hyaloscypha_hepaticicola_GCA_002865625	652
Rhizopus_delemar_RA_99-880_GCA_000149305	428
Backusella_circina_FSU_941_GCA_025399235	624
Cephaloascus_albidus_GCA_003706495	228
Bifiguratus_adelaidae_GCA_002261195	242
Chytridiales_sp._JEL_0842_GCA_027604305	190
Scedosporium_aurantiacum_GCA_000812075	570
Clydaea_vesicula_GCA_027604065	162
Physocladia_obscura_GCA_027596945	296
Rhizoclosmatium_sp._JEL0117_GCA_027604365	277
Cryphonectria_radicalis_GCA_003264845	622
Rhizoclosmatium_globosum_GCA_002104985	347
Allomyces_arbusculus_GCA_027604705	190
Ascobolus_immersus_RN42_GCA_003788565	481
Batrachochytrium_dendrobatidis_JEL423_GCA_000149865	160
Rhizopus_microsporus_var._microsporus_GCA_002083745	362
Ustulina_deusta_GCA_002081935	662
Polyrhizophydium_stewartii_GCA_027604665	141
Gaertneriomyces_semiglobifer_GCA_025558075	231
Colletotrichum_nymphaeae_SA-01_GCA_001563115	1022
Blyttiomyces_sp._JEL0837_GCA_027604625	215
Phlyctochytrium_arcticum_GCA_025602905	244
Neofusicoccum_parvum_UCRNP2_GCA_000385595	690
Reticulascus_tulasneorum_GCA_001557505	868
Rhizophlyctis_rosea_GCA_002214945	347
Talaromyces_purpureogenus_GCA_001270325	698
Orbilia_oligospora_ATCC_24927_GCA_000225545	558
Verticillium_tricorpus_MUCL_9792_GCA_000732205	763
Boothiomyces_sp._JEL0838_GCA_027604245	138
Metschnikowia_cubensis_GCA_002374405	182
Baudoinia_panamericana_UAMH_10762_GCA_000338955	452
Batrachochytrium_salamandrivorans_GCA_002006685	227
Evernia_prunastri_GCA_003184365	387
Schizosaccharomyces_pombe_GCA_000002945	186
Martensiomyces_pterosporus_GCA_025201845	280
Chytriomyces_hyalinus_GCA_027604165	257
Yarrowia_lipolytica_CLIB122_GCA_000002525	236
Syncephalis_pseudoplumigaleata_GCA_003614755	158
Thermothielavioides_terrestris_NRRL_8126_GCA_000226115	557
Linderina_pennispora_GCA_002104995	325
Paecilomyces_variotii_GCA_003990805	443
Batrachochytrium_dendrobatidis_JAM81_GCA_000203795	226
Neocallimastix_californiae_GCA_002104975	829
Microbotryum_silenes-dioicae_GCA_900120095	263
Pseudomicrostroma_glucosiphilum_GCA_003144135	223
Piromyces_finnis_GCA_002104945	383
Mucor_ambiguus_GCA_000950595	406
Ophiognomonia_clavigignenti-juglandacearum_GCA_003671545	867
Terramyces_sp._JEL0728_GCA_027603945	169
Coemansia_reversa_NRRL_1564_GCA_002705745	233
Blyttiomyces_helicus_GCA_003614705	151
Hanseniaspora_guilliermondii_GCA_900119595	120
Fonticula_alba_GCA_000388065	54
Kappamyces_sp._JEL0829_GCA_027604465	163
Aspergillus_spinulosporus_GCA_003574815	688
Pestalotiopsis_fici_W106-1_GCA_000516985	1084
Geranomyces_variabilis_GCA_027603065	231
Chytriomyces_hyalinus_GCA_027604085	247
Basidiobolus_meristosporus_CBS_931.73_GCA_002104905	688
Basidiobolus_heterosporus_B8920_GCA_000697455	242
Rozella_allomycis_CSF55_GCA_000442015	104
Geranomyces_variabilis_GCA_027601485	225
Entophlyctis_sp._JEL0112_GCA_027604545	262
Cystobasidiopsis_lactophilus_GCA_001599975	260
Chytridium_lagenaria_GCA_025449115	213
Thoreauomyces_humboldtii_GCA_027596035	233
Elaphomyces_granulatus_GCA_002240705	321
Cladosporium_sphaerospermum_UM_843_GCA_000261425	583
Umbelopsis_ramanniana_AG_GCA_025399195	490
Endocalyx_cinctus_GCA_001600455	838
Gorgonomyces_haynaldii_GCA_025526955	252
Clohesyomyces_aquaticus_GCA_002105025	824
Olpidium_bornovanus_GCA_017911155	19
Pseudomassariella_vexata_GCA_002105095	784
Globomyces_sp._JEL0801_GCA_027595885	136
Allomyces_macrogynus_ATCC_38327_GCA_000151295	295
Uncinocarpus_reesii_1704_GCA_000003515	280
Synchytrium_endobioticum_GCA_006535955	163
Neoconidiobolus_thromboides_FSU_785_GCA_025603075	295
Powellomyces_hirtus_GCA_006536005	207
Gyalolechia_flavorubescens_KoLRI002931_GCA_000442125	337
Microdochium_bolleyi_GCA_001566295	723
Entophlyctis_luteolus_GCA_027603655	227
Monosiga_brevicollis_MX1_GCA_000002865	232
Rhizoclosmatium_hyalinum_GCA_027596175	112
Lepidopterella_palustris_CBS_459.81_GCA_001692735	508
_Candida__arabinofermentans_NRRL_YB-2248_GCA_001661425	210
Coniella_lustricola_GCA_003019895	562
Cladonia_uncialis_GCA_002927785	337
Nowakowskiella_sp._JEL0407_GCA_027600645	222
Trichoderma_gamsii_GCA_001481775	635
Anaeromyces_robustus_GCA_002104895	403
Geranomyces_variabilis_GCA_027602705	207
Zygoascus_ofunaensis_GCA_003707925	236
Ophioceras_dolichostomum_GCA_003049485	592
Protomyces_lactucae-debilis_GCA_002105105	257
Neurospora_crassa_OR74A_GCA_000182925	476
Kockiozyma_suomiensis_GCA_003705835	221
Pseudozyma_flocculosa_PF-1_GCA_000417875	300
Diaporthe_aspalathi_GCA_001447215	885
Paraphaeosphaeria_sporulosa_GCA_001642045	908
Conidiobolus_coronatus_NRRL_28638_GCA_001566745	298
Hesseltinella_vesiculosa_GCA_002104935	380
Helminthosporium_solani_B-AC-16A_GCA_000498615	644
Synchytrium_microbalum_GCA_006535985	255
Arthrobotrys_flagrans_GCA_004000055	487
Leptoxyphium_fumago_GCA_001660795	367
Arthonia_radiata_GCA_002989075	395
Mucor_circinelloides_1006PhL_GCA_000401635	473
Allomyces_javanicus_GCA_027604645	191
Knufia_petricola_GCA_002319055	394
Paramicrosporidium_saccamoebae_GCA_002794465	79
Cyphellophora_europaea_CBS_101466_GCA_000365145	572
Cordyceps_fumosorosea_ARSEF_2679_GCA_001636725	520
Aeminium_ludgeri_GCA_004216415	414
Entophlyctis_luteolus_GCA_027604725	282
Thielaviopsis_punctulata_GCA_000968615	308
Hortaea_werneckii_EXF-2000_GCA_002127715	1009
Chytriomyces_confervae_GCA_006535975	288
Cladochytrium_tenue_GCA_026954515	225
Spizellomyces_sp._'palustris'_GCA_006535965	220
