DATASET_HEATMAP
SEPARATOR TAB
COLOR	#000000
DATASET_LABEL	DIAMOND Blastp E-value
FIELD_LABELS	E-value
DATA
GCA_003988815|CDS_8200|58|202	24.85078088734462
GCA_002162485|CDS_9287|79|220	20.17005330405836
GCA_002162545|CDS_3429|78|222	20.86327943284359
GCA_002319055|CDS_8551|59|215	17.476253533188434
GCA_001557505|CDS_5412|1|107	5.978810700930061
GCA_001692915|CDS_5417|43|139	8.134896025358872
GCA_000498615|CDS_4059|50|219	16.172630726946174
GCA_001692915|CDS_102|78|200	15.860120913598761
GCA_000385595|CDS_7899|2179|2304	16.73048705578208
GCA_900073065|CDS_1686|46|217	20.809668301829706
GCA_900290415|CDS_10783|47|203	21.287350298372786
GCA_002105025|CDS_11654|20|180	14.970616222314789
GCA_000218685|CDS_1247|11|121	13.113509274827516
GCA_000766925|CDS_5196|40|185	19.95467702121334
GCA_001692735|CDS_7371|70|245	21.643974142806876
GCA_001447215|CDS_9134|108|251	15.160521952625798
GCA_003264845|CDS_4139|113|270	16.73754891026957
GCA_000146915|CDS_3021|48|213	14.774690718274137
GCA_003313425|CDS_4557|49|215	20.575118363368933
GCA_002368545|CDS_5917|12|190	22.342944147142894
GCA_001692915|CDS_12888|2|89	9.560667306169735
GCA_900073065|CDS_18503|206|316	18.669586226650807
GCA_002865625|CDS_7003|774|924	-2.0
GCA_900073065|CDS_2013|209|356	13.244887733604928
GCA_002865625|CDS_6422|281|425	9.407823242604133
GCA_002865625|CDS_15371|217|360	13.718966632752272
GCA_000836295|CDS_4868|171|353	17.338187314462736
GCA_001557505|CDS_1218|42|188	15.414539270491497
GCA_001692915|CDS_6354|96|253	19.364516253185087
GCA_001563115|CDS_177|47|207	17.576754126063193
GCA_000516985|CDS_2318|50|226	16.96657624451305
GCA_000836295|CDS_6833|124|214	13.686132779630846
GCA_002865625|CDS_10939|233|385	18.400116927926312
GCA_002105025|CDS_3169|50|213	15.838631997765024
GCA_000146915|CDS_1591|100|264	17.094743951251544
GCA_003016335|CDS_3214|168|330	15.562249437179611
GCA_000146915|CDS_1910|147|314	18.661543506395393
GCA_003313425|CDS_6801|196|369	14.98296666070122
GCA_000467715|CDS_3068|96|250	19.254144804826268
GCA_002240705|CDS_9245|460|620	14.396855627379816
GCA_001563115|CDS_11148|27|147	15.15676722190199
GCA_000225545|CDS_8685|622|781	17.44249279809434
GCA_001600455|CDS_8327|57|219	15.238072161579469
GCA_001692735|CDS_8920|101|265	21.040958607678903
GCA_001563115|CDS_8295|122|285	15.804100347590765
GCA_003012165|CDS_4912|147|306	12.187086643357143
GCA_002368545|CDS_5082|61|228	16.193820026016112
GCA_001692915|CDS_9236|100|262	15.8153085691824
GCA_001692915|CDS_5999|116|280	12.647817481888637
GCA_003016335|CDS_16134|48|231	16.175223537524452
GCA_001513895|CDS_2986|111|277	12.345823458122037
GCA_000812075|CDS_3363|113|282	13.02548830726267
GCA_002081935|CDS_11460|113|283	15.011887159731646
GCA_001481775|CDS_6514|117|283	12.12205304837081
GCA_001692735|CDS_11998|104|275	13.290730039024169
GCA_900073065|CDS_14074|113|269	14.869666231504992
GCA_900536445|CDS_2484|123|299	14.954677021213342
GCA_002865625|CDS_1167|162|315	23.987162775294824
GCA_002865625|CDS_5020|122|279	15.003050751504619
GCA_003988815|CDS_2284|1|73	4.747146969020107
GCA_002162485|CDS_3104|104|263	19.928117992693874
GCA_002162545|CDS_2820|103|262	18.31695296176115
GCA_900073065|CDS_15412|96|208	19.377785977033703
GCA_000464535|CDS_4865|115|274	19.193820026016112
GCA_002865625|CDS_13695|105|260	17.342944147142894
GCA_900073065|CDS_656|125|286	16.57839607313017
GCA_900073065|CDS_2576|1003|1165	15.562249437179611
GCA_002865625|CDS_16337|54|227	10.05403929642243
GCA_002865625|CDS_4246|86|232	18.035269078946367
GCA_002105025|CDS_12989|155|314	17.90308998699194
GCA_003988795|CDS_2327|446|613	16.627087997029893
GCA_001599595|CDS_4977|12|119	17.679853713888942
GCA_001692735|CDS_9182|272|439	21.29843201494407
GCA_003012165|CDS_8500|215|388	16.27572413039921
GCA_000464535|CDS_6133|47|203	16.749579997691104
GCA_002865625|CDS_10457|57|143	17.707743928643524
GCA_003016335|CDS_12320|157|317	20.20830935097988
GCA_003313425|CDS_9839|46|117	10.943095148663526
GCA_900073065|CDS_20079|47|191	18.49894073778225
GCA_003019875|CDS_1758|42|185	20.12901118623942
GCA_000354255|CDS_11003|67|224	18.19382002601611
GCA_002162545|CDS_5893|48|234	14.149353764816931
GCA_003313425|CDS_4037|88|222	20.692503962086786
GCA_001600455|CDS_11519|45|207	23.86966623150499
GCA_900618795|CDS_1106|55|156	21.485452247339712
GCA_001692735|CDS_49|43|210	14.326058001365912
GCA_003264845|CDS_6323|51|136	21.282329496997736
GCA_000365145|CDS_9564|58|199	20.007888512213047
GCA_000498615|CDS_5309|52|258	19.123782159408353
GCA_001692915|CDS_14012|92|194	8.795880017344075
GCA_003019875|CDS_7703|121|268	17.146910470148132
GCA_001692915|CDS_2281|1|91	13.39577394691553
GCA_003988795|CDS_4584|46|194	19.03574036980315
GCA_001956345|CDS_7033|963|1092	13.737548910269568
GCA_003184365|CDS_3258|1128|1292	14.212539525481585
GCA_002307695|CDS_8556|172|275	-2.0
GCA_002307695|CDS_1013|30|87	-2.0
GCA_002307695|CDS_584|141|251	4.714442690992226
GCA_002307695|CDS_14966|200|308	5.004364805402449
GCA_002307695|CDS_938|146|255	5.265200170411152
GCA_003184365|CDS_3939|42|189	20.812479279163536
GCA_003988945|CDS_10183|3|113	16.315154638355587
GCA_001956345|CDS_6402|75|219	16.018634490921453
GCA_002927785|CDS_3111|65|232	23.806875401645534
GCA_000498615|CDS_947|49|195	18.93554201077308
GCA_002865625|CDS_14784|48|196	18.15676722190199
GCA_000354255|CDS_11337|61|207	12.882728704344235
GCA_003988795|CDS_8670|48|195	20.077274542006737
GCA_900073065|CDS_14526|763|954	16.555955204081922
GCA_002865625|CDS_3989|43|138	19.636388020107855
GCA_001557505|CDS_12092|86|247	22.404503778174426
GCA_000365145|CDS_9061|336|434	-2.0
GCA_002865625|CDS_2609|1|76	-2.0
GCA_001692915|CDS_6848|39|183	17.328827157284913
GCA_002319055|CDS_3873|31|202	19.215382707367123
GCA_001599915|CDS_7838|40|211	16.00788851221305
GCA_000442125|CDS_1474|49|220	14.471083299722343
GCA_003264845|CDS_6951|42|229	19.328827157284913
GCA_900073065|CDS_12125|41|229	15.44490555142168
GCA_000442125|CDS_5705|41|224	17.183096160624338
GCA_001604925|CDS_7262|39|225	15.860120913598761
GCA_003264845|CDS_206|41|228	15.454692883534173
GCA_002927785|CDS_213|41|223	14.22548303427145
GCA_000182925|CDS_6289|168|362	24.943095148663524
GCA_000963775|CDS_12190|73|221	17.453457336521865
GCA_000226115|CDS_3441|54|237	21.549750891680638
GCA_002162485|CDS_4230|368|455	14.804100347590763
GCA_002865625|CDS_5620|1|67	-2.0
GCA_002865625|CDS_3310|58|200	17.092051478387727
GCA_000812075|CDS_6379|58|198	21.505845405981557
GCA_002865625|CDS_1244|57|199	15.93554201077308
GCA_002261195|CDS_817|68|233	23.684029654543078
GCA_002865625|CDS_13524|37|125	17.269217724333608
GCA_900073065|CDS_3797|141|282	19.73048705578208
GCA_900536445|CDS_10670|61|194	18.93554201077308
GCA_003073855|CDS_11854|178|324	22.60032627851896
GCA_002162545|CDS_5997|49|201	17.405607449624572
GCA_002162545|CDS_2710|55|196	15.9100948885606
GCA_003073855|CDS_16818|102|236	18.188424994129406
GCA_900536445|CDS_8661|107|248	22.821023052706828
