Chrom	Start	End	Stain	Arm
KZ613464.1	0	30833	background	1
KZ613464.1	30833	121795	bgc	1
KZ613464.1	121795	1934267	background	1
KZ613465.1	0	1609883	background	1
KZ613466.1	0	7018	background	1
KZ613466.1	7018	74971	bgc	1
KZ613466.1	74971	281487	background	1
KZ613466.1	281487	312795	bgc	1
KZ613466.1	312795	1562309	background	1
KZ613467.1	0	223110	background	1
KZ613467.1	223110	286571	bgc	1
KZ613467.1	286571	1179336	background	1
KZ613467.1	1179336	1270405	bgc	1
KZ613467.1	1270405	1516863	background	1
KZ613468.1	0	663875	background	1
KZ613468.1	663875	730596	bgc	1
KZ613468.1	730596	1361065	background	1
KZ613469.1	0	178249	background	1
KZ613469.1	178249	210073	bgc	1
KZ613469.1	210073	949678	background	1
KZ613469.1	949678	1021803	bgc	1
KZ613469.1	1021803	1356497	background	1
KZ613470.1	0	287832	background	1
KZ613470.1	287832	373541	bgc	1
KZ613470.1	373541	1243915	background	1
KZ613470.1	1243915	1342380	bgc	1
KZ613470.1	1342380	1342380	background	1
KZ613471.1	0	1295864	background	1
KZ613472.1	0	711695	background	1
KZ613472.1	711695	775020	bgc	1
KZ613472.1	775020	1279501	background	1
KZ613473.1	0	1163431	background	1
KZ613473.1	1163431	1231406	bgc	1
KZ613473.1	1231406	1273111	background	1
KZ613474.1	0	236002	background	1
KZ613474.1	236002	267197	bgc	1
KZ613474.1	267197	1142996	background	1
KZ613475.1	0	1110940	background	1
KZ613476.1	0	1097562	background	1
KZ613477.1	0	357854	background	1
KZ613477.1	357854	415425	bgc	1
KZ613477.1	415425	683776	background	1
KZ613477.1	683776	747485	bgc	1
KZ613477.1	747485	1002053	background	1
