Chrom	Start	End	Stain	Arm
KZ613464.1	0	30833	background	1
KZ613464.1	30833	121795	bgc	1
KZ613464.1	121795	1934267	background	1
KZ613465.1	0	1609883	background	1
KZ613466.1	0	7018	background	1
KZ613466.1	7018	74971	bgc	1
KZ613466.1	74971	281487	background	1
KZ613466.1	281487	312795	bgc	1
KZ613466.1	312795	1562309	background	1
KZ613467.1	0	223110	background	1
KZ613467.1	223110	286571	bgc	1
KZ613467.1	286571	1179336	background	1
KZ613467.1	1179336	1270405	bgc	1
KZ613467.1	1270405	1516863	background	1
KZ613468.1	0	663875	background	1
KZ613468.1	663875	730596	bgc	1
KZ613468.1	730596	1361065	background	1
KZ613469.1	0	178249	background	1
KZ613469.1	178249	210073	bgc	1
KZ613469.1	210073	949678	background	1
KZ613469.1	949678	1021803	bgc	1
KZ613469.1	1021803	1356497	background	1
KZ613470.1	0	287832	background	1
KZ613470.1	287832	373541	bgc	1
KZ613470.1	373541	1243915	background	1
KZ613470.1	1243915	1342380	bgc	1
KZ613470.1	1342380	1342380	background	1
KZ613471.1	0	1295864	background	1
KZ613472.1	0	711695	background	1
KZ613472.1	711695	775020	bgc	1
KZ613472.1	775020	1279501	background	1
KZ613473.1	0	1163431	background	1
KZ613473.1	1163431	1231406	bgc	1
KZ613473.1	1231406	1273111	background	1
KZ613474.1	0	236002	background	1
KZ613474.1	236002	267197	bgc	1
KZ613474.1	267197	1142996	background	1
KZ613475.1	0	1110940	background	1
KZ613476.1	0	1097562	background	1
KZ613477.1	0	357854	background	1
KZ613477.1	357854	415425	bgc	1
KZ613477.1	415425	683776	background	1
KZ613477.1	683776	747485	bgc	1
KZ613477.1	747485	1002053	background	1
KZ613478.1	0	990076	background	1
KZ613479.1	0	921628	background	1
KZ613480.1	0	582554	background	1
KZ613480.1	582554	673308	bgc	1
KZ613480.1	673308	897593	background	1
KZ613481.1	0	882254	background	1
KZ613482.1	0	100860	background	1
KZ613482.1	100860	191655	bgc	1
KZ613482.1	191655	732862	background	1
KZ613482.1	732862	796893	bgc	1
KZ613482.1	796893	869411	background	1
KZ613483.1	0	860438	background	1
KZ613484.1	0	664958	background	1
KZ613484.1	664958	729005	bgc	1
KZ613484.1	729005	844745	background	1
KZ613485.1	0	442447	background	1
KZ613485.1	442447	473946	bgc	1
KZ613485.1	473946	573314	background	1
KZ613485.1	573314	636784	bgc	1
KZ613485.1	636784	827768	background	1
KZ613486.1	0	810805	background	1
KZ613487.1	0	110689	background	1
KZ613487.1	110689	207901	bgc	1
KZ613487.1	207901	787945	background	1
KZ613488.1	0	32388	background	1
KZ613488.1	32388	166619	bgc	1
KZ613488.1	166619	772114	background	1
KZ613489.1	0	700593	background	1
KZ613490.1	0	522799	background	1
KZ613490.1	522799	613353	bgc	1
KZ613490.1	613353	697801	background	1
KZ613491.1	0	174660	background	1
KZ613491.1	174660	258805	bgc	1
KZ613491.1	258805	693850	background	1
KZ613492.1	0	363874	background	1
KZ613492.1	363874	425387	bgc	1
KZ613492.1	425387	683016	background	1
KZ613493.1	0	180657	background	1
KZ613493.1	180657	213042	bgc	1
KZ613493.1	213042	676829	background	1
KZ613494.1	0	641827	background	1
KZ613495.1	0	637510	background	1
KZ613496.1	0	588524	background	1
KZ613497.1	0	310954	background	1
KZ613497.1	310954	413592	bgc	1
KZ613497.1	413592	585067	background	1
KZ613498.1	0	346096	background	1
KZ613498.1	346096	438460	bgc	1
KZ613498.1	438460	580385	background	1
KZ613499.1	0	561238	background	1
KZ613500.1	0	15256	background	1
KZ613500.1	15256	84410	bgc	1
KZ613500.1	84410	205655	background	1
KZ613500.1	205655	269773	bgc	1
KZ613500.1	269773	560632	background	1
KZ613501.1	0	554291	background	1
KZ613502.1	0	553105	background	1
KZ613503.1	0	543900	background	1
KZ613504.1	0	63239	background	1
KZ613504.1	63239	161694	bgc	1
KZ613504.1	161694	541825	background	1
KZ613505.1	0	530343	background	1
KZ613506.1	0	129579	background	1
KZ613506.1	129579	198772	bgc	1
KZ613506.1	198772	518993	background	1
KZ613507.1	0	495173	background	1
KZ613508.1	0	490595	background	1
KZ613509.1	0	470522	background	1
KZ613510.1	0	466005	background	1
KZ613511.1	0	455391	background	1
KZ613512.1	0	379756	background	1
KZ613512.1	379756	452394	bgc	1
KZ613512.1	452394	452394	background	1
KZ613513.1	0	445078	background	1
KZ613514.1	0	444227	background	1
KZ613515.1	0	431499	background	1
KZ613516.1	0	420355	background	1
KZ613517.1	0	409395	background	1
KZ613518.1	0	405034	background	1
KZ613519.1	0	398124	background	1
KZ613520.1	0	193283	background	1
KZ613520.1	193283	284168	bgc	1
KZ613520.1	284168	396353	background	1
KZ613521.1	0	387286	background	1
KZ613522.1	0	115765	background	1
KZ613522.1	115765	182543	bgc	1
KZ613522.1	182543	381856	background	1
KZ613523.1	0	377948	background	1
KZ613524.1	0	62578	bgc	1
KZ613524.1	62578	372208	background	1
KZ613525.1	0	369060	background	1
KZ613526.1	0	367450	background	1
KZ613527.1	0	363992	background	1
KZ613528.1	0	352224	background	1
KZ613529.1	0	336059	background	1
KZ613530.1	0	325848	background	1
KZ613531.1	0	36325	background	1
KZ613531.1	36325	128832	bgc	1
KZ613531.1	128832	322364	background	1
KZ613532.1	0	15043	background	1
KZ613532.1	15043	83033	bgc	1
KZ613532.1	83033	312899	background	1
KZ613533.1	0	111124	background	1
KZ613533.1	111124	202135	bgc	1
KZ613533.1	202135	297927	background	1
KZ613534.1	0	286545	background	1
KZ613535.1	0	132580	background	1
KZ613535.1	132580	199651	bgc	1
KZ613535.1	199651	272511	background	1
KZ613536.1	0	179499	background	1
KZ613536.1	179499	271100	bgc	1
KZ613536.1	271100	271100	background	1
KZ613537.1	0	261459	background	1
KZ613538.1	0	250693	background	1
KZ613539.1	0	239959	background	1
KZ613540.1	0	228169	background	1
KZ613541.1	0	152766	background	1
KZ613541.1	152766	227350	bgc	1
KZ613541.1	227350	227350	background	1
KZ613542.1	0	225261	background	1
KZ613543.1	0	200872	background	1
KZ613544.1	0	188072	background	1
KZ613545.1	0	184715	background	1
KZ613546.1	0	181471	background	1
KZ613547.1	0	112527	background	1
KZ613547.1	112527	144120	bgc	1
KZ613547.1	144120	179545	background	1
KZ613548.1	0	169227	background	1
KZ613549.1	0	167724	background	1
KZ613550.1	0	154775	background	1
KZ613551.1	0	145802	background	1
KZ613552.1	0	141964	background	1
KZ613553.1	0	133801	background	1
KZ613554.1	0	133797	background	1
KZ613555.1	0	134289	background	1
KZ613556.1	0	122667	background	1
KZ613557.1	0	119978	background	1
KZ613558.1	0	118476	background	1
KZ613559.1	0	110157	background	1
KZ613560.1	0	110213	background	1
KZ613561.1	0	111094	background	1
KZ613562.1	0	21523	background	1
KZ613562.1	21523	108910	bgc	1
KZ613562.1	108910	108910	background	1
KZ613563.1	0	95068	background	1
KZ613564.1	0	86510	background	1
KZ613565.1	0	82381	background	1
KZ613566.1	0	82393	background	1
KZ613567.1	0	77975	background	1
KZ613568.1	0	77307	background	1
KZ613569.1	0	74194	background	1
KZ613570.1	0	61537	background	1
KZ613571.1	0	60090	background	1
KZ613572.1	0	55804	background	1
KZ613573.1	0	54598	background	1
KZ613574.1	0	53236	background	1
KZ613575.1	0	52946	background	1
KZ613576.1	0	50278	background	1
KZ613577.1	0	50538	background	1
KZ613578.1	0	47097	background	1
KZ613579.1	0	46802	background	1
KZ613580.1	0	46900	background	1
KZ613581.1	0	44625	background	1
KZ613582.1	0	43678	background	1
KZ613583.1	0	43837	background	1
KZ613584.1	0	42737	background	1
KZ613585.1	0	41869	background	1
KZ613586.1	0	37585	background	1
KZ613587.1	0	34769	background	1
KZ613588.1	0	33788	background	1
KZ613589.1	0	33257	background	1
KZ613590.1	0	33278	background	1
KZ613591.1	0	33438	background	1
KZ613592.1	0	29814	background	1
KZ613593.1	0	31121	background	1
KZ613594.1	0	29339	background	1
KZ613595.1	0	28967	background	1
KZ613596.1	0	27076	background	1
KZ613597.1	0	26642	background	1
KZ613598.1	0	11288	background	1
KZ613599.1	0	22602	background	1
KZ613600.1	0	22188	background	1
KZ613601.1	0	21585	background	1
KZ613602.1	0	20048	background	1
KZ613603.1	0	17930	background	1
KZ613604.1	0	17004	background	1
KZ613605.1	0	17844	background	1
KZ613606.1	0	17098	background	1
KZ613607.1	0	15397	background	1
KZ613608.1	0	15372	background	1
KZ613609.1	0	15002	background	1
KZ613610.1	0	13323	background	1
KZ613611.1	0	12882	background	1
KZ613612.1	0	12146	background	1
KZ613613.1	0	11728	background	1
