n	n:500	L50	min	N80	N50	N20	E-size	max	sum	name
452	371	3	500	3063004	3739060	6393220	3875780	6393220	28.44e6	Genomes/GCA_000001985.1_JCVI-PMFA1-2.0_genomic.fna
53	48	3	570	4487659	6601398	8316866	6249886	8316866	40.95e6	Genomes/GCA_000002495.2_MG8_genomic.fna
6	6	3	1062590	1320834	1753957	2602197	1932375	2602197	10.69e6	Genomes/GCA_000002515.1_ASM251v1_genomic.fna
6	6	3	2302840	3066374	3633025	4223703	3535312	4223703	20.5e6	Genomes/GCA_000002525.1_ASM252v1_genomic.fna
13	13	5	491328	687738	1100349	1402899	1061380	1455689	12.32e6	Genomes/GCA_000002545.2_ASM254v2_genomic.fna
8	8	4	1804324	3583205	3889341	4821963	3919967	4875879	28.81e6	Genomes/GCA_000002655.1_ASM265v1_genomic.fna
143	143	5	1002	1035461	2493240	2722046	2347284	4487798	27.85e6	Genomes/GCA_000002715.1_ASM271v1_genomic.fna
19	19	6	96465	1607900	2521439	3621079	2392601	3621560	33.93e6	Genomes/GCA_000002855.2_ASM285v2_genomic.fna
4	4	2	19431	4539604	4539604	5579033	4586674	5579033	12.59e6	Genomes/GCA_000002945.2_ASM294v2_genomic.fna
820	650	4	504	2878540	4359548	4608890	3837271	5632838	35.5e6	Genomes/GCA_000003125.1_JCVI-TSTA1-3.0_genomic.fna
45	43	2	869	2650304	5187875	7823300	5255532	7823300	22.17e6	Genomes/GCA_000003515.2_ASM351v2_genomic.fna
27	27	5	2055	3411938	5513703	8432535	6036800	10.24e6	66.27e6	Genomes/GCA_000003525.2_BD_ER3_V1_genomic.fna
9	9	3	18942	1448457	1863598	2420770	1764744	2420770	12.08e6	Genomes/GCA_000003835.1_ASM383v1_genomic.fna
103	103	8	2098	1266740	2395537	7032112	3545578	8093198	74.39e6	Genomes/GCA_000003855.2_BD_SLH14081_V1_genomic.fna
30	30	3	521	1023902	1384985	2871894	1599952	2871894	11.52e6	Genomes/GCA_000004155.2_SCY4_genomic.fna
24	24	4	4896	914324	1650340	2301991	1679897	2466465	14.58e6	Genomes/GCA_000006335.3_ASM633v3_genomic.fna
7	7	3	1249840	1344382	2007415	2050850	1812161	2305636	12.15e6	Genomes/GCA_000006445.2_ASM644v2_genomic.fna
7	7	3	880377	1114666	1496342	1554288	1456748	1865392	9763366	Genomes/GCA_000026365.1_ASM2636v1_genomic.fna
8	8	3	1022435	1245899	2267510	3214061	2095414	3214061	14.62e6	Genomes/GCA_000026945.1_ASM2694v1_genomic.fna
4	4	2	1778196	2244567	2394159	2798474	2361647	2798474	9215396	Genomes/GCA_000027005.1_ASM2700v1_genomic.fna
8	8	3	23564	907494	1519140	1836693	1440979	1836693	9119312	Genomes/GCA_000091025.4_ASM9102v4_genomic.fna
14	14	6	762278	1085432	1438677	2105625	1511006	2300370	19.05e6	Genomes/GCA_000091045.1_ASM9104v1_genomic.fna
8	8	4	687718	999246	1513537	1632914	1397626	1720065	10.39e6	Genomes/GCA_000142805.1_ASM14280v1_genomic.fna
289	288	6	501	1059299	1970955	3077414	2113831	4360630	29.13e6	Genomes/GCA_000143105.2_Sanger-454-IlluminaPA_2.0_genomic.fna
37	37	4	1194	3819468	4652003	4946272	4641306	6523708	34.34e6	Genomes/GCA_000143365.1_ASM14336v1_genomic.fna
18	18	7	208766	2257609	2617329	3226611	2717460	4109373	42.63e6	Genomes/GCA_000143535.4_ASM14353v4_genomic.fna
665	665	18	1015	331169	825229	2179565	1208716	3475061	58.68e6	Genomes/GCA_000143565.1_V1.0_genomic.fna
517	517	3	502	2309737	6293398	7194760	4849830	7473605	40.98e6	Genomes/GCA_000145635.1_Gae_graminis_V2_genomic.fna
16	16	6	230218	666816	924431	1091291	910428	1531933	12.07e6	Genomes/GCA_000146045.2_R64_genomic.fna
108	108	13	2005	476342	1043366	1592386	1106680	2518965	37.05e6	Genomes/GCA_000146915.2_ASM14691v2_genomic.fna
37	37	9	15843	974747	1608426	2612731	1645200	2760312	38.13e6	Genomes/GCA_000146945.2_ASM14694v2_genomic.fna
654	654	26	2000	185817	578747	1137405	678337	1821908	50.91e6	Genomes/GCA_000149035.1_C_graminicola_M1_001_V1_genomic.fna
91	91	5	2259	1389157	2456154	3834542	2450871	4289962	30.1e6	Genomes/GCA_000149205.2_ASM14920v2_genomic.fna
83	83	6	4433	1272880	3008036	5038954	2905834	5667501	45.32e6	Genomes/GCA_000149305.1_RO3_genomic.fna
7	7	3	68094	3469264	4323845	8482223	5443497	8482223	29.02e6	Genomes/GCA_000149335.2_ASM14933v2_genomic.fna
9	9	3	23890	1018208	1696313	1956507	1525711	2090639	10.57e6	Genomes/GCA_000149425.1_ASM14942v1_genomic.fna
24	24	5	18211	2850057	4231259	4680613	4030229	6209371	41.79e6	Genomes/GCA_000149555.1_ASM14955v1_genomic.fna
280	280	4	620	1416212	2760473	6807154	3212679	6807154	30.65e6	Genomes/GCA_000149585.1_ASM14958v1_genomic.fna
27	27	7	12095	1425380	1899489	2472996	1879213	2741212	29.23e6	Genomes/GCA_000149615.1_ASM14961v1_genomic.fna
28	28	3	4566	1039289	1996820	3539673	2004202	3539673	15.46e6	Genomes/GCA_000149685.1_ASM14968v1_genomic.fna
32	32	2	2319	2915653	3695880	4128306	3522332	4128306	11.14e6	Genomes/GCA_000149845.2_SJ5_genomic.fna
393	393	29	2878	329406	911286	1577592	1008892	2999745	81.6e6	Genomes/GCA_000149925.1_ASM14992v1_genomic.fna
88	88	6	900	2353531	4412639	5490887	4152326	6721659	60.01e6	Genomes/GCA_000149955.2_ASM14995v2_genomic.fna
48	48	6	5496	1160332	1969229	3299272	2782007	6693485	37.36e6	Genomes/GCA_000149985.1_ASM14998v1_genomic.fna
281	281	38	2065	43577	126422	214809	141498	496459	14.66e6	Genomes/GCA_000150035.1_ASM15003v1_genomic.fna
5	5	2	2617	2981481	3743327	4497381	3829326	4497381	11.26e6	Genomes/GCA_000150505.2_SO6_genomic.fna
