GCA	GCA_Name	Clade	Rep	BGCome_Size	Genome_Size	Unique_Proteins	CAZy_Total_Count
GCA_002162545	Monilinia_fructicola_GCA_002162545	Pezizomycotina	TRUE	3179834	43338467	9690	417
GCA_003988945	Chaetoscypha_palmicola_GCA_003988945	Pezizomycotina	TRUE	1929239	40661501	10363	401
GCA_002368545	Ramichloridium_luteum_GCA_002368545	Pezizomycotina	TRUE	2207740	28121942	8849	310
GCA_003385255	Corinectria_fuckeliana_GCA_003385255	Pezizomycotina	TRUE	2142944	38830354	10370	434
GCA_000836295	Verruconis_gallopava_GCA_000836295	Pezizomycotina	TRUE	1292979	31348514	9259	283
GCA_004335205	Ascochyta_viciae-villosae_GCA_004335205	Pezizomycotina	TRUE	2115583	44570443	10459	530
GCA_002778095	Fragosphaeria_purpurea_GCA_002778095	Pezizomycotina	TRUE	1597277	34748420	9003	344
GCA_002916505	Tolypocladium_paradoxum_GCA_002916505	Pezizomycotina	TRUE	1758394	27322323	8411	268
GCA_002591845	Epichloe_elymi_GCA_002591845	Pezizomycotina	TRUE	1647281	24477428	7207	220
GCA_000812075	Scedosporium_aurantiacum_GCA_000812075	Pezizomycotina	TRUE	1721282	39422603	9990	405
GCA_003264845	Cryphonectria_radicalis_GCA_003264845	Pezizomycotina	TRUE	3706221	40208438	10643	501
GCA_002081935	Ustulina_deusta_GCA_002081935	Pezizomycotina	TRUE	5408965	46510157	12047	517
GCA_001557505	Reticulascus_tulasneorum_GCA_001557505	Pezizomycotina	TRUE	3957835	42868360	12189	676
GCA_001270325	Talaromyces_purpureogenus_GCA_001270325	Pezizomycotina	TRUE	2749749	38748549	10214	557
GCA_000732205	Verticillium_tricorpus_MUCL_9792_GCA_000732205	Pezizomycotina	TRUE	2088665	35973570	10191	610
GCA_003184365	Evernia_prunastri_GCA_003184365	Pezizomycotina	TRUE	5089503	40286858	11896	284
GCA_003990805	Paecilomyces_variotii_GCA_003990805	Pezizomycotina	TRUE	2187407	30833540	8401	290
GCA_003671545	Ophiognomonia_clavigignenti-juglandacearum_GCA_003671545	Pezizomycotina	TRUE	5311010	51190975	13244	698
GCA_003574815	Aspergillus_spinulosporus_GCA_003574815	Pezizomycotina	TRUE	3623676	31178067	9896	491
GCA_002240705	Elaphomyces_granulatus_GCA_002240705	Pezizomycotina	TRUE	584744	53858501	14165	243
GCA_000261425	Cladosporium_sphaerospermum_UM_843_GCA_000261425	Pezizomycotina	TRUE	1273538	26716808	8972	444
GCA_001600455	Endocalyx_cinctus_GCA_001600455	Pezizomycotina	TRUE	6754477	44683250	12879	636
GCA_000442125	Gyalolechia_flavorubescens_KoLRI002931_GCA_000442125	Pezizomycotina	TRUE	3087933	34383966	9847	254
GCA_002927785	Cladonia_uncialis_GCA_002927785	Pezizomycotina	TRUE	2654059	32851025	10065	239
GCA_003049485	Ophioceras_dolichostomum_GCA_003049485	Pezizomycotina	TRUE	1716453	42851467	10850	471
GCA_000182925	Neurospora_crassa_OR74A_GCA_000182925	Pezizomycotina	TRUE	1255064	41061603	8316	338
GCA_001447215	Diaporthe_aspalathi_GCA_001447215	Pezizomycotina	TRUE	4507020	54751262	12968	719
GCA_000498615	Helminthosporium_solani_B-AC-16A_GCA_000498615	Pezizomycotina	TRUE	1699501	33028319	9986	502
GCA_001660795	Leptoxyphium_fumago_GCA_001660795	Pezizomycotina	TRUE	1430559	24901912	8006	238
GCA_002989075	Arthonia_radiata_GCA_002989075	Pezizomycotina	TRUE	2021288	33401249	9686	308
GCA_002319055	Knufia_petricola_GCA_002319055	Pezizomycotina	TRUE	792444	27718321	9351	278
GCA_004216415	Aeminium_ludgeri_GCA_004216415	Pezizomycotina	TRUE	673408	22581462	8117	295
GCA_003988795	Proliferodiscus_dingleyae_GCA_003988795	Pezizomycotina	TRUE	4722183	34008678	11069	510
GCA_900618795	Cyanodermella_asteris_GCA_900618795	Pezizomycotina	TRUE	4326105	28302436	9598	360
GCA_001510565	Knoxdaviesia_proteae_GCA_001510565	Pezizomycotina	TRUE	626701	35138057	7116	250
GCA_002798055	Coniochaeta_hoffmannii_GCA_002798055	Pezizomycotina	TRUE	1484337	30791717	10073	451
GCA_000963775	Clonostachys_rosea_GCA_000963775	Pezizomycotina	TRUE	4203312	54564997	15813	759
GCA_000812885	Lanzia_echinophila_GCA_000812885	Pezizomycotina	TRUE	1095262	39274390	12303	408
GCA_900536445	Hymenoscyphus_occultus_GCA_900536445	Pezizomycotina	TRUE	4001601	57164173	12618	532
GCA_001956345	Ramalina_peruviana_GCA_001956345	Pezizomycotina	TRUE	1929509	26808612	7589	179
GCA_004155245	Ramularia_coccinea_GCA_004155245	Pezizomycotina	TRUE	2926567	32739296	9779	400
GCA_000467715	Hysterium_pulicare_CBS_123377_GCA_000467715	Pezizomycotina	TRUE	2834001	38112825	12483	509
GCA_003313425	Pseudopyrenochaeta_lycopersici_GCA_003313425	Pezizomycotina	TRUE	3351049	62731430	13509	634
GCA_000738655	Venturia_pyrina_ICMP_11032_GCA_000738655	Pezizomycotina	TRUE	2340445	39145172	10793	449
